	C0_1	C0_2	C63_1	C63_2
ASV_418	8	9	0	0
ASV_419	4	10	4	3
ASV_420	1	7	17	3
ASV_421	0	0	2	1
ASV_422	0	0	0	6
ASV_423	7	12	0	0
ASV_424	7	12	0	0
ASV_425	7	10	0	0
ASV_426	3	8	10	6
ASV_427	0	0	21	4
ASV_428	0	0	10	11
ASV_429	0	0	7	3
ASV_430	9	7	2	0
ASV_431	2	1	16	4
ASV_432	2	3	3	9
ASV_433	0	2	9	7
ASV_434	0	0	11	10
ASV_435	0	0	9	4
ASV_436	0	0	5	8
ASV_437	0	0	3	4
ASV_438	0	0	2	10
ASV_439	0	0	0	1
ASV_440	6	2	2	4
ASV_441	3	4	6	8
ASV_442	2	2	2	14
ASV_443	2	6	8	5
ASV_444	1	0	10	5
ASV_445	0	0	16	10
ASV_446	0	0	8	8
ASV_447	0	0	4	4
ASV_448	0	0	0	1
ASV_450	6	10	1	0
ASV_451	4	1	0	0
ASV_452	1	1	10	5
ASV_453	0	1	2	1
ASV_454	0	0	15	7
ASV_455	0	0	6	1
ASV_456	0	0	4	8
ASV_458	9	9	2	0
ASV_459	7	6	3	0
ASV_460	6	3	4	6
ASV_461	1	0	0	5
ASV_462	0	1	1	6
ASV_463	0	0	14	7
ASV_464	0	0	6	19
ASV_465	0	0	1	3
ASV_466	4	7	2	1
ASV_467	2	0	4	9
ASV_468	0	0	10	11
ASV_469	0	0	8	4
ASV_470	0	0	8	8
ASV_471	0	0	5	19
ASV_472	0	0	3	2
ASV_473	0	0	2	2
ASV_474	0	0	0	3
ASV_476	4	1	3	5
ASV_477	0	1	0	1
ASV_478	0	0	2	1
ASV_479	0	0	2	6
ASV_480	7	5	6	0
ASV_481	6	8	0	1
ASV_482	1	0	1	0
ASV_483	0	1	5	6
ASV_484	0	1	9	10
ASV_485	0	0	7	11
ASV_486	0	0	3	1
ASV_487	0	0	3	3
ASV_488	0	0	1	9
ASV_491	13	5	0	0
ASV_492	3	8	0	0
ASV_493	3	0	6	9
ASV_494	1	0	4	2
ASV_495	0	1	4	15
ASV_496	0	1	0	0
ASV_497	0	0	20	3
ASV_498	0	0	14	5
ASV_499	0	0	6	11
ASV_500	0	0	6	5
ASV_501	0	0	2	5
ASV_504	3	2	7	2
ASV_505	2	3	1	0
ASV_506	1	0	8	7
ASV_507	0	0	1	0
ASV_508	7	5	0	1
ASV_509	6	4	0	0
ASV_510	2	1	6	5
ASV_511	1	2	1	4
ASV_512	1	0	12	8
ASV_513	1	2	9	6
ASV_514	0	1	1	1
ASV_515	0	1	16	0
ASV_516	0	0	13	5
ASV_517	0	0	10	10
ASV_518	0	0	9	4
ASV_519	0	0	6	6
ASV_520	0	0	3	3
ASV_525	11	3	0	1
ASV_526	7	1	4	2
ASV_527	6	5	0	0
ASV_528	6	13	0	0
ASV_529	5	6	0	0
ASV_530	4	1	9	3
ASV_531	4	4	2	0
ASV_532	3	5	0	0
ASV_533	2	4	8	1
ASV_534	1	7	5	1
ASV_535	1	4	7	4
ASV_536	0	1	4	7
ASV_537	0	0	11	5
ASV_538	0	0	11	1
ASV_539	0	0	10	6
ASV_540	0	0	5	4
ASV_541	0	0	1	6
ASV_545	10	6	0	0
ASV_546	5	4	0	1
ASV_547	3	0	12	3
ASV_548	1	0	1	4
ASV_549	1	0	8	3
ASV_550	1	4	2	0
ASV_551	0	4	3	4
ASV_552	0	1	2	5
ASV_553	0	1	0	0
ASV_554	0	0	8	1
ASV_555	0	0	4	3
ASV_556	0	0	3	4
ASV_557	0	0	1	2
ASV_558	0	0	1	3
ASV_559	0	0	1	13
ASV_560	0	0	0	7
ASV_562	8	6	0	0
ASV_563	3	6	2	0
ASV_564	2	1	8	4
ASV_565	0	0	15	3
ASV_566	0	0	14	2
ASV_567	0	0	10	0
ASV_568	0	0	7	2
ASV_569	0	0	5	5
ASV_570	0	0	3	3
ASV_571	0	0	2	1
ASV_572	6	1	1	0
ASV_573	5	4	0	0
ASV_574	5	1	0	0
ASV_575	3	0	1	0
ASV_576	2	2	6	1
ASV_577	1	1	0	0
ASV_578	1	1	0	0
