	T0_1_V	T0_2_V	T63_1_V	T63_2_V
KSW-C0_1_V_NODE_257_length_5667_cov_38.502495||full	9.48615520275923	12.3436422261723	4.7471417560095	5.46578484076001
KSW-C0_1_V_NODE_266_length_5588_cov_22.264775||full	8.87029906522313	12.1082700280003	4.06949044511228	3.68201773773267
KSW-C0_1_V_NODE_270_length_5558_cov_6.468290||full	10.516388773194	12.0392622077163	9.10765729896256	11.3621478229007
KSW-C0_1_V_NODE_277_length_5493_cov_27.257815||full	11.7051778426344	11.7552649830565	10.8662614497839	10.4069338977762
KSW-C0_1_V_NODE_278_length_5472_cov_517.713679||full	13.4155057951378	16.5570397317776	13.3243709501294	15.7796300758197
KSW-C0_1_V_NODE_300_length_5306_cov_13.972196||full	8.84219379979386	11.6338583152695	5.16957714244851	5.41421341767857
KSW-C0_1_V_NODE_322_length_5205_cov_9.032816||full	10.1994231179551	9.82888920041264	11.9850213338116	11.191557965148
KSW-C0_1_V_NODE_327_length_5184_cov_7.461883||full	7.66197541889465	8.18385905064426	5.8859930993718	5.86157771673797
KSW-C0_1_V_NODE_336_length_5135_cov_36.528937||full	10.1243936016949	12.8160481119992	5.92571006120877	5.822623334686
KSW-C0_1_V_NODE_357_length_5039_cov_12.670746||full	8.46112125163708	11.4141929008231	4.79119520688045	5.61020541625999
KSW-C0_1_V_NODE_366_length_5011_cov_5.733253||full	1.52475460101323	1.52475460101323	1.52475460101323	2.55960892569858
KSW-C0_1_V_NODE_368_length_5010_cov_3.215338||full	6.90014487125225	7.88387039282684	6.07443095451998	5.6552812392301
KSW-C0_2_V_NODE_3_length_34709_cov_12.949241||full	13.390252457931	14.8853867513067	13.4366286249773	13.4420000512885
KSW-C0_2_V_NODE_4_length_34366_cov_134.031273||full	15.4516716523509	17.5592637881393	15.5063044853393	15.601447807899
KSW-C0_2_V_NODE_8_length_26741_cov_10.303080||full	12.5045355561692	14.1162520398995	12.5228227829756	12.5291900839622
KSW-C0_2_V_NODE_16_length_19884_cov_25.608755||full	12.6351685014616	13.376145505009	12.7565615893706	12.795631812135
KSW-C0_2_V_NODE_19_length_17839_cov_68.368758||full	15.2782560967518	16.6995922474257	15.3241982951451	16.9175789757322
KSW-C0_2_V_NODE_21_length_17152_cov_7.584664||full	10.5092571264238	12.0034796715967	10.3770050277023	10.5800082741999
KSW-C0_2_V_NODE_25_length_15466_cov_187.878918||full	15.6487553456107	16.8499093809417	15.6188239015708	15.3215261767548
KSW-C0_2_V_NODE_26_length_15044_cov_19.809394||full	12.0250471931397	13.4724431958334	12.0936523039596	12.2040268238464
KSW-C0_2_V_NODE_29_length_14009_cov_8.715494||full	7.73717001097893	10.3551159990794	3.00279881750719	3.68201773773267
KSW-C0_2_V_NODE_30_length_13815_cov_8.638953||full	10.0153546320183	10.8577204322185	10.9693997780765	11.403877980068
KSW-C0_2_V_NODE_32_length_13613_cov_11.301224||full	10.3507215727818	11.9624082295234	10.3027680866614	10.4929747124687
KSW-C0_2_V_NODE_35_length_12960_cov_11.115304||full	11.1667299005846	12.1512251850512	9.77224056786075	9.65203139413504
KSW-C0_2_V_NODE_40_length_12732_cov_41.855250||full	12.1058699648439	13.3267519084943	11.6426539833703	11.3646859616243
KSW-C0_2_V_NODE_41_length_12418_cov_6.352827||full	10.7200669527385	11.6200246610268	8.98407312894807	9.22280235524849
KSW-C0_2_V_NODE_52_length_10622_cov_5.341630||full	8.61522044650763	9.12329791557498	10.2245028632613	10.3602145531521
KSW-C0_2_V_NODE_66_length_9190_cov_11.115271||full	9.74787203120662	10.770242054371	8.08143531528861	7.62425880829934
KSW-C0_2_V_NODE_67_length_9046_cov_3.891447||full	10.2978979737173	9.56574991430742	12.11550158426	11.0494455985499
KSW-C0_2_V_NODE_70_length_8916_cov_5.995260||full	9.24987678795821	9.31408985860876	8.44408059941338	8.06816546978033
KSW-C0_2_V_NODE_75_length_8532_cov_62.856907||full	9.36891331056313	12.5619527454968	3.74089669879725	5.5636652235499
KSW-C0_2_V_NODE_80_length_8359_cov_45.037211||full	9.25840912554153	12.1454424322557	4.39270346045598	4.48417707837315
KSW-C0_2_V_NODE_82_length_8267_cov_9.707379||full	9.65075295655039	10.9446430054465	8.40955896840973	8.5146495901852
KSW-C0_2_V_NODE_84_length_8232_cov_5.071664||full	8.25485129848786	9.39430135332938	6.02044823217824	6.7293670665967
KSW-C0_2_V_NODE_86_length_8166_cov_13.793860||full	10.7123245093735	12.2604815562803	10.5985070685597	10.6987618446959
KSW-C0_2_V_NODE_88_length_8133_cov_32.630478||full	9.0773667193565	11.8625511447064	3.91523849021469	4.14128059315282
KSW-C0_2_V_NODE_89_length_8111_cov_13.651440||full	10.3547059295843	11.8483826084127	10.1522243268692	10.3568188421554
KSW-C0_2_V_NODE_96_length_7851_cov_10.874679||full	8.34574260181699	10.7295925136844	4.06949044511228	3.85322827998272
KSW-C0_2_V_NODE_99_length_7745_cov_9.093758||full	9.58782641055254	9.00905414745103	9.7182611546636	9.68490155560757
KSW-C0_2_V_NODE_103_length_7657_cov_4.429755||full	7.39413992534319	10.3213192462291	3.99456408372911	2.55960892569858
KSW-C0_2_V_NODE_106_length_7527_cov_6.570798||full	8.88138962513673	10.0595788497218	6.94763086105455	7.74349278200606
KSW-C0_2_V_NODE_112_length_7421_cov_116.015884||full	11.0037545236482	13.4608486935481	5.66903315707031	6.47728329461105
KSW-C0_2_V_NODE_117_length_7201_cov_13.517772||full	9.24987678795821	11.2903946736091	5.62140489134478	5.5636652235499
KSW-C0_2_V_NODE_121_length_7040_cov_6.310093||full	10.172588963258	9.6980529772717	12.1974582095792	11.8011773044701
KSW-C0_2_V_NODE_124_length_7015_cov_9.486351||full	8.23769218186071	10.2295526975767	2.28760527946316	3.85322827998272
KSW-C0_2_V_NODE_125_length_7000_cov_8.282937||full	6.6890000869356	9.00905414745103	3.42605358355869	1.52475460101323
KSW-C0_2_V_NODE_136_length_6741_cov_5.969488||full	7.08426844943298	10.7398627789898	3.00279881750719	2.55960892569858
KSW-C0_2_V_NODE_137_length_6662_cov_8.924171||full	11.7245516517992	11.9602138429497	11.1974537603977	10.4852200793662
KSW-C0_2_V_NODE_138_length_6659_cov_4.723047||full	5.71544319064331	8.02494735882648	1.52475460101323	2.95992474203199
KSW-C0_2_V_NODE_147_length_6471_cov_4.346478||full	6.81009892158693	9.3680566186501	2.59171801071081	3.25101055718808
KSW-C0_2_V_NODE_151_length_6414_cov_50.218431||full	9.62459131810521	12.6256458406843	4.27235827363982	5.46578484076001
KSW-C0_2_V_NODE_158_length_6319_cov_7.936622||full	9.18422310872077	9.98382773766818	7.65007859284742	7.49427045071741
KSW-C0_2_V_NODE_171_length_6113_cov_13.223011||full	10.8243121845386	11.3948253138962	9.2353482559843	9.1223886292917
KSW-C0_2_V_NODE_172_length_6089_cov_7.823666||full	7.33080600816663	9.96644001230741	4.14050405658733	3.68201773773267
KSW-C0_2_V_NODE_174_length_6086_cov_12.295308||full	9.48978303498606	10.2149019439242	8.57756774254641	8.22540305935075
KSW-C0_2_V_NODE_179_length_6018_cov_10.570183||full	9.53613299238353	10.4890032329845	10.4928275564115	11.0164675337935
KSW-C0_2_V_NODE_182_length_5988_cov_30.018203||full	10.5619044845611	12.070114452537	7.70235787191989	7.56662133295689
KSW-C0_2_V_NODE_185_length_5973_cov_16.735722||full	8.5541558506623	11.6338583152695	4.06949044511228	4.58194862144588
