gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KSW-cf_coassembly_k141_111652||full	0.205855415742189	0.488400091046563	4.93157230122709	0.0990353707123057	0.921110186371414	NA
KSW-cf_coassembly_k141_2128228||full	4.44819159118351	-0.982085491493236	2.36803243266315	-0.414726368586412	0.678342226893905	NA
KSW-cf_coassembly_k141_3472473||full	1.28908344750742	-1.37995706884948	3.85531993111973	-0.357935811684682	0.720391349961331	NA
KSW-cf_coassembly_k141_3606621||full	3.08683745388677	0.205046976642801	2.62442463707971	0.0781302590082998	0.937724437548686	NA
KSW-cf_coassembly_k141_3472988||full	3.01150198107903	4.30985224903911	2.88369826414037	1.49455728521717	0.135030020970661	NA
KSW-cf_coassembly_k141_1722067||full	1.49493886324961	-0.757973335571894	3.28039361174571	-0.231061703344961	0.817266866395085	NA
KSW-cf_coassembly_k141_3068553||full	0.386267746466444	1.31146592858618	4.8686592250451	0.269369012692407	0.787645729438929	NA
KSW-cf_coassembly_k141_2403151||full	1.93133873233222	3.6540628430668	3.75873962188219	0.972151096020059	0.330975385585165	NA
KSW-cf_coassembly_k141_1994282||full	2.72931731028304	4.15484879429679	3.01866170209775	1.37638768577793	0.168701638388545	NA
KSW-cf_coassembly_k141_1325566||full	2.72931731028304	4.15484879429679	3.01866170209775	1.37638768577793	0.168701638388545	NA
KSW-cf_coassembly_k141_243020||full	3.09014197173155	4.33380108378435	3.29626272358252	1.31476203422105	0.188589890704832	NA
KSW-cf_coassembly_k141_2807581||full	1.51632338300306	-4.79478832801562	4.07480011979858	-1.17669288972452	0.239318106833269	NA
KSW-cf_coassembly_k141_2808103||full	4.25045330597029	0.318636317589426	2.31320876421593	0.137746459601293	0.890440799900177	NA
KSW-cf_coassembly_k141_1995621||full	1.66109725995569	1.08718501704431	3.1747254018928	0.342450095493652	0.732012194068423	NA
KSW-cf_coassembly_k141_2405182||full	1.04353101272912	0.0575644760314504	3.77075566042346	0.0152660318555316	0.987819941976847	NA
KSW-cf_coassembly_k141_1459027||full	1.04353101272912	0.0575644760314504	3.77075566042346	0.0152660318555316	0.987819941976847	NA
KSW-cf_coassembly_k141_1327877||full	2.97486974506134	2.10061295152151	2.72112398012543	0.771965175737668	0.440135053333634	NA
KSW-cf_coassembly_k141_1996907||full	1.7763694866259	3.54020717891669	3.40298748472302	1.04032330263032	0.298189721448431	NA
KSW-cf_coassembly_k141_3742983||full	1.42979875919557	0.763971428084585	3.36813854904407	0.226823040964693	0.820561346512383	NA
KSW-cf_coassembly_k141_923686||full	1.93133873233222	3.6540628430668	3.75873962188219	0.972151096020059	0.330975385585165	NA
KSW-cf_coassembly_k141_116574||full	1.18424632441727	2.95492718121593	3.93195187117193	0.751516620251817	0.452341802143329	NA
KSW-cf_coassembly_k141_2264650||full	0.205855415742189	0.488400091046563	4.93157230122709	0.0990353707123057	0.921110186371414	NA
KSW-cf_coassembly_k141_2937369||full	1.18424632441727	2.95492718121593	3.93195187117193	0.751516620251817	0.452341802143329	NA
KSW-cf_coassembly_k141_1056950||full	3.476409718198	4.50417972496323	3.20322251595468	1.40614012998745	0.15968251801349	NA
KSW-cf_coassembly_k141_3744139||full	2.67512662240239	-0.295140144558792	3.08398613279167	-0.0957008662978735	0.923758152853479	NA
KSW-cf_coassembly_k141_924852||full	0.902815701040979	-4.19390748710068	4.86049050208455	-0.862856842391115	0.38821618181963	NA
KSW-cf_coassembly_k141_3612921||full	3.1552820757856	2.21685814368291	2.97939744658668	0.744062577559982	0.456838617794103	NA
KSW-cf_coassembly_k141_1727409||full	2.49471429167814	-0.509105621862674	2.83059003910479	-0.179858479973909	0.857263671744391	NA
KSW-cf_coassembly_k141_2812985||full	2.83084991552842	-2.44617748982894	2.64001498027702	-0.926577124790503	0.354146136377716	NA
KSW-cf_coassembly_k141_664361||full	0.657263266262678	-1.38214128732947	4.86514673982854	-0.28409035970376	0.77634113458405	NA
KSW-cf_coassembly_k141_1593269||full	0.386267746466444	1.31146592858618	4.8686592250451	0.269369012692407	0.787645729438929	NA
KSW-cf_coassembly_k141_2136206||full	4.09067144757978	0.960878383536901	2.39568771167266	0.401086660358591	0.688356321732057	NA
KSW-cf_coassembly_k141_2673133||full	3.74815928541393	0.658903402851328	2.34232088243946	0.281303645367793	0.778477514559722	NA
KSW-cf_coassembly_k141_1866456||full	0.978390908675077	2.6746266910975	4.2487586732154	0.629507791995487	0.529016669093241	NA
KSW-cf_coassembly_k141_2537102||full	0.797978577950821	2.39106908743475	4.57580612336543	0.522545978341442	0.601290242355449	NA
KSW-cf_coassembly_k141_1060175||full	0.386267746466444	1.31146592858618	4.8686592250451	0.269369012692407	0.787645729438929	NA
KSW-cf_coassembly_k141_249958||full	0.617566247226566	2.04046609881625	4.83567277399705	0.421961161182883	0.67305336654174	NA
KSW-cf_coassembly_k141_1196237||full	3.48405461652661	-6.01432211247165	2.87546636379502	-2.09159884052129	0.0364744163451065	NA
KSW-cf_coassembly_k141_121012||full	0.772535492932888	2.32725935969626	4.82656002254352	0.482177648019766	0.629679753834763	NA
KSW-cf_coassembly_k141_1867867||full	0.617566247226566	2.04046609881625	4.83567277399705	0.421961161182883	0.67305336654174	NA
KSW-cf_coassembly_k141_927765||full	3.49854828537115	0.566225171749648	2.50615918400533	0.225933442441876	0.821253186934332	NA
KSW-cf_coassembly_k141_3747617||full	3.50185280321593	4.51437335381106	2.83857049284105	1.59036859052697	0.111751745976164	NA
KSW-cf_coassembly_k141_3211468||full	0.205855415742189	0.488400091046563	4.93157230122709	0.0990353707123057	0.921110186371414	NA
KSW-cf_coassembly_k141_3078079||full	2.65374210264894	0.760629635301055	2.72489142637317	0.27914126336896	0.780136417570736	NA
KSW-cf_coassembly_k141_3078421||full	1.72217879874525	-2.69410580509513	3.55542551893097	-0.757744970538769	0.448603671609966	NA
KSW-cf_coassembly_k141_789961||full	0.386267746466444	1.31146592858618	4.8686592250451	0.269369012692407	0.787645729438929	NA
KSW-cf_coassembly_k141_2540343||full	0.411710831484377	1.46445309972375	4.86032874052057	0.301307417235918	0.763180085449965	NA
