id,label
K-NODE_1619_length_14803_cov_39.702943||full,K
K-NODE_164_length_21028_cov_16.223001,K
K-NODE_1666_length_14578_cov_884.933829,K
K-NODE_1673_length_14535_cov_85.438329,K
K-NODE_1678_length_14496_cov_9.853196||full,K
K-NODE_174_length_20401_cov_23.572447,K
K-NODE_1769_length_13964_cov_110.841973||full,K
K-NODE_177_length_57888_cov_23.040323||full,K
K-NODE_1778_length_13937_cov_7.226336,K
K-NODE_1788_length_13891_cov_105.222463||full,K
K-NODE_1796_length_17526_cov_17.135195||full,K
K-NODE_185_length_21734_cov_11.256008,K
K-NODE_189_length_21663_cov_10.976213,K
K-NODE_1909_length_13261_cov_5.824398||full,K
K-NODE_194_length_54437_cov_10.349730||full,K
K-NODE_1945_length_13050_cov_4.777530||full,K
K-NODE_1998_length_16457_cov_11.651872||full_1,K
K-NODE_2030_length_12681_cov_6.901077||full,K
K-NODE_2041_length_12639_cov_6.884854||full,K
K-NODE_205_length_19018_cov_15.727997,K
K-NODE_214_length_20850_cov_230.692811||0_partial,K
K-NODE_2140_length_12232_cov_5.788700||full,K
K-NODE_2160_length_12168_cov_15.664080||full,K
K-NODE_2197_length_12034_cov_10.831205||full,K
K-NODE_2210_length_12011_cov_20.584560||full,K
K-NODE_2258_length_11887_cov_288.212052||full,K
K-NODE_227_length_18348_cov_16.039851,K
K-NODE_2342_length_15026_cov_11.854118||full,K
K-NODE_2349_length_11567_cov_10.305942||full,K
K-NODE_2351_length_14990_cov_86.460060||full_1,K
K-NODE_2385_length_11463_cov_23.543829||full,K
K-NODE_2439_length_11295_cov_7.728648||full,K
K-NODE_2463_length_14565_cov_11.697795||full,K
K-NODE_2483_length_11124_cov_33.712711||full,K
K-NODE_249_length_47001_cov_14.383717||full,K
K-NODE_250_length_46866_cov_134.689667||full,K
K-NODE_2526_length_11009_cov_7.422403,K
K-NODE_253_length_17818_cov_14.581884,K
K-NODE_2533_length_10997_cov_22.063151||full,K
K-NODE_2565_length_10862_cov_11.547515,K
K-NODE_2566_length_10859_cov_6.183451,K
K-NODE_2589_length_10799_cov_6.398362,K
K-NODE_26_length_42028_cov_8.450599||0_partial,K
K-NODE_2609_length_10714_cov_21.656065||full,K
K-NODE_267_length_19362_cov_66.620604||full,K
K-NODE_267_length_45417_cov_1917.330298||full,K
K-NODE_268_length_45385_cov_62.065762||full,K
K-NODE_2765_length_10302_cov_7.987509||full,K
K-NODE_2766_length_10299_cov_5.183424||full,K
K-NODE_2768_length_10297_cov_55.459773||full,K
K-NODE_2780_length_10267_cov_8.996964,K
K-NODE_2789_length_10241_cov_78.344885,K
K-NODE_2793_length_13505_cov_22.298885,K
K-NODE_2825_length_10167_cov_8.595431,K
K-NODE_2833_length_10138_cov_24.911633||full,K
K-NODE_284_length_17183_cov_14.179239,K
K-NODE_2875_length_10042_cov_24.392911||full,K
K-NODE_29_length_39470_cov_64.900038,K
K-NODE_3_length_133452_cov_19.881317||0_partial_1,K
K-NODE_3062_length_12761_cov_12.531875||full,K
K-NODE_31_length_85746_cov_20.959016||full_1_1,K
K-NODE_327_length_17690_cov_11.442019||full_1,K
K-NODE_332_length_16140_cov_16.561766,K
K-NODE_333_length_40795_cov_28.535935||full,K
K-NODE_341_length_40282_cov_190.243468||full,K
K-NODE_3456_length_11845_cov_7.371077||full,K
K-NODE_3583_length_11567_cov_15.162092||full,K
K-NODE_3588_length_11556_cov_36.173898,K
K-NODE_364_length_38972_cov_31.721279,K
K-NODE_364_length_38972_cov_31.721279||full,K
K-NODE_371_length_16855_cov_31.559167||full,K
K-NODE_374_length_38181_cov_30.256177||full,K
K-NODE_3806_length_11114_cov_10.954155||full,K
K-NODE_3824_length_11079_cov_20.247460,K
K-NODE_386_length_37287_cov_99.919854||full,K
K-NODE_388_length_37246_cov_12.307413||full,K
K-NODE_3925_length_10892_cov_20.277383,K
K-NODE_395_length_15376_cov_13.995235,K
K-NODE_399_length_15348_cov_14.816714,K
K-NODE_4_length_56640_cov_78.937952||full,K
K-NODE_402_length_15296_cov_15.834197,K
K-NODE_405_length_15269_cov_14.990141,K
K-NODE_4104_length_10556_cov_15.455385,K
K-NODE_414_length_15090_cov_14.656202,K
K-NODE_42_length_118025_cov_21.701110||full_1_1,K
K-NODE_421_length_14916_cov_17.179934,K
K-NODE_442_length_34557_cov_184.532897||full,K
K-NODE_458_length_33658_cov_9.244561,K
K-NODE_465_length_14414_cov_16.315064,K
K-NODE_4707_length_6920_cov_17.223452,K
K-NODE_473_length_34320_cov_16.849234||full,K
K-NODE_479_length_15332_cov_16.546050,K
K-NODE_494_length_14152_cov_38.528765,K
K-NODE_5_length_113180_cov_14.692385||0_partial_1,K
K-NODE_509_length_31388_cov_13.712986||full,K
K-NODE_51_length_100148_cov_31.225740||0_partial_1,K
K-NODE_538_length_13763_cov_18.391158,K
K-NODE_548_length_13712_cov_15.923775,K
K-NODE_551_length_30200_cov_7.576746||full,K
K-NODE_568_length_14318_cov_10.908575||full,K
K-NODE_571_length_13513_cov_20.146084,K
K-NODE_575_length_13486_cov_15.404065,K
K-NODE_581_length_29343_cov_9.285748||full,K
K-NODE_607_length_13317_cov_15.753431,K
K-NODE_6085_length_5815_cov_7.234028,K
K-NODE_646_length_12971_cov_17.586404,K
K-NODE_646_length_27552_cov_11.508165||full,K
K-NODE_650_length_27439_cov_12.675979||full,K
K-NODE_6520_length_5526_cov_179.766770,K
K-NODE_6520_length_5526_cov_179.766770||full,K
K-NODE_660_length_12820_cov_15.553702,K
K-NODE_673_length_12693_cov_14.360896,K
K-NODE_6900_length_5318_cov_10.598708,K
K-NODE_705_length_26340_cov_8.058817||full,K
K-NODE_712_length_13073_cov_6.502535||full,K
K-NODE_713_length_26157_cov_21.112290,K
K-NODE_733_length_12368_cov_13.223666,K
K-NODE_752_length_12761_cov_11.731780,K
K-NODE_76_length_82847_cov_51.451952||0_partial_1,K
K-NODE_78_length_29557_cov_16.273134,K
K-NODE_792_length_12541_cov_10.642560,K
K-NODE_804_length_24037_cov_51.704362||full,K
K-NODE_808_length_23999_cov_39.256557||full,K
K-NODE_820_length_11794_cov_17.837380,K
K-NODE_836_length_23469_cov_6.981592,K
K-NODE_841_length_23407_cov_12.820872||full,K
K-NODE_862_length_11647_cov_14.155366,K
K-NODE_863_length_11646_cov_14.919593,K
K-NODE_867_length_11630_cov_32.124233,K
K-NODE_897_length_22362_cov_15.721881||full,K
K-NODE_941_length_11759_cov_11.513841,K
K-NODE_963_length_21151_cov_90.435628||full,K
K-NODE_967_length_11287_cov_16.278935,K
K-NODE_980_length_11215_cov_15.318817,K
K-NODE_984_length_11490_cov_11.224399,K
K-S2C35656,K
K-S2C54018,K
K-S3C22058,K
K-S3C35615,K
K-S3C37343,K
K-S3C38615,K
K-S3C47813,K
K-S3C50959,K
K-S3C52352,K
K-S3C55269,K
K-S3C64783,K
K-S3C66802,K
K-S3C67132,K
K-S3C71495,K
K-S3C74538,K
K-S3C78503,K
K-S3C8771,K
K-S3C96003,K
K-S4C29661,K
K-S4C81116,K
K-S4C82848,K
KSD-k141_1000183||full,KSD
KSD-k141_10017911,KSD
KSD-k141_10036577||full,KSD
KSD-k141_10036730||full,KSD
KSD-k141_1004545||full,KSD
KSD-k141_10046158,KSD
KSD-k141_10056285||full,KSD
KSD-k141_1008792||full,KSD
KSD-k141_10095433||full,KSD
KSD-k141_10103509||full,KSD
KSD-k141_10109973||full,KSD
KSD-k141_101141,KSD
KSD-k141_10114115||full,KSD
KSD-k141_10136538,KSD
KSD-k141_10142004||full,KSD
KSD-k141_1014987||full,KSD
KSD-k141_10154357||full,KSD
KSD-k141_1017248||full,KSD
KSD-k141_1018969,KSD
KSD-k141_1020108||full,KSD
KSD-k141_1020512||full,KSD
KSD-k141_10205794||full,KSD
KSD-k141_10209723||full,KSD
KSD-k141_10213642||full,KSD
KSD-k141_10216358,KSD
KSD-k141_10217182||full,KSD
KSD-k141_10223904||full,KSD
KSD-k141_1022496,KSD
KSD-k141_1022496||full,KSD
KSD-k141_10233502||full,KSD
KSD-k141_10236744||full,KSD
KSD-k141_1024276,KSD
KSD-k141_1024276||full,KSD
KSD-k141_10244292||full,KSD
KSD-k141_1026583,KSD
KSD-k141_10267048||full,KSD
KSD-k141_1027307||full,KSD
KSD-k141_1027920||full,KSD
KSD-k141_1028350||full,KSD
KSD-k141_102931||full,KSD
