""	"K1_s"	"K2_s"	"K1_t"	"K2_t"	"C0_1_C"	"C0_2_C"	"C63_1_C"	"C63_2_C"	"T0_1_C"	"T0_2_C"	"T63_1_C"	"T63_2_C"	"C0_1_V"	"C0_2_V"	"C63_1_V"	"C63_2_V"	"T0_1_V"	"T0_2_V"	"T63_1_V"	"T63_2_V"	"S12_0_3"	"S12_12_15"	"S12_21_24"	"S3_0_3"	"S3_12_15"	"S3_21_24"	"S9_0_3"	"S9_12_15"	"S9_21_24"
"K-NODE_1970_length_8775_cov_14.580505"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2008_length_8714_cov_15.451207"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2059_length_8618_cov_13.937055"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2065_length_8612_cov_31.236298"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2100_length_8550_cov_17.725956"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2190_length_8432_cov_15.280172"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2219_length_8392_cov_11.697373"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2298_length_8273_cov_13.569360"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2310_length_8254_cov_17.953531"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2332_length_8224_cov_16.773901"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2407_length_8118_cov_15.350242"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2421_length_8094_cov_14.816395"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2463_length_8042_cov_19.014398"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2471_length_8035_cov_14.918797"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2507_length_7994_cov_15.875551"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2520_length_7982_cov_14.394348"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2527_length_7976_cov_20.680091"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2556_length_7946_cov_16.514257"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2600_length_7888_cov_16.392825"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2642_length_7852_cov_16.993972"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2676_length_7816_cov_14.020101"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2692_length_7799_cov_7.137526"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2723_length_7760_cov_14.885399"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2807_length_7666_cov_15.201419"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2811_length_7663_cov_12.652340"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2819_length_7649_cov_15.464051"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2878_length_7593_cov_15.747811"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2879_length_7593_cov_14.764924"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_2980_length_7491_cov_15.085261"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_3060_length_7415_cov_8.889130"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_3175_length_7306_cov_20.108399"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_3251_length_7247_cov_15.738042"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K-NODE_3262_length_7236_cov_15.804623"	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
