""	"K1_s"	"K2_s"	"K1_t"	"K2_t"	"C0_1_C"	"C0_2_C"	"C72_1_C"	"C72_2_C"	"T0_1_C"	"T0_2_C"	"T72_1_C"	"T72_2_C"	"C0_1_V"	"C0_2_V"	"C72_1_V"	"C72_2_V"	"T0_1_V"	"T0_2_V"	"T72_1_V"	"T72_2_V"	"S12_0_3"	"S12_12_15"	"S12_21_24"	"S3_0_3"	"S3_12_15"	"S3_21_24"	"S9_0_3"	"S9_12_15"	"S9_21_24"
"T72_2_V"	0.000904571474807028	0.00171198953188224	0	0.000525359551956892	0.145039168096854	0.169573000981392	0.188166249093686	0.187702731435922	0.110485926659396	0.107318528645092	0.242382014121145	0.261951469405002	0.498468217532194	0.460182904257614	0.591136875003576	0.719332467107978	0.580953471934299	0.491200502135067	0.759219283352495	1	0.0249221092620689	0.0370749687513542	0.0383588286278561	0.0196856599819245	0.0135160727799033	0.0150402183602364	0.0380408984471766	0.0296840290128592	0.0329533140430231
"S12_0_3"	0	0	0	0	0.0124827943941682	0.0203545761888374	0.0133077060611479	0.00666602521732583	0.00905932484349709	0.00695857744886422	0.00530809949635111	0.00254880456240404	0.0246912807676262	0.0336964224761471	0.0348883520703645	0.0279809716516443	0.0301584149805786	0.0321028577798214	0.0261098446470787	0.0249221092620689	1	0.506902853168157	0.511652345536897	0.204156584619663	0.37341829877837	0.383428031741524	0.112586950082226	0.327927110021908	0.431808206542122
"S12_12_15"	0	0	0	0	0.0138086174889097	0.0183593979938509	0.0176441029546518	0.00645699269481939	0.011796761608579	0.00879820797236391	0.00530490108763123	0.00309459664121877	0.0367169338250508	0.044237264907656	0.0539796676235163	0.042366034187392	0.043739404277247	0.0504292281657254	0.0368279093139428	0.0370749687513542	0.506902853168157	1	0.635870172367136	0.183477341052103	0.379617716471085	0.426275985123359	0.145299523528979	0.37274077215652	0.408117745367992
"S12_21_24"	0	0	0	0	0.0143376281437394	0.0182021054609006	0.0198146403004525	0.00741262597842197	0.0134216129342944	0.0093444882820862	0.00599082944816747	0.00339021456244101	0.0381039418223465	0.0462711158772767	0.0550835102699648	0.0437989407800583	0.0452576639862437	0.0540409567986862	0.0405621185757705	0.0383588286278561	0.511652345536897	0.635870172367136	1	0.18420568566336	0.381505443849948	0.444669337613357	0.129856973744446	0.41002913042429	0.439704605378856
"S3_0_3"	0.00426302584021567	0.00509166791944963	0	0	0.0150192674264994	0.0282409927901616	0.00437144554791614	0.00493706699901329	0.00736730544785756	0.00807951639153685	0.00179706269859723	0.00221928196458215	0.00686274509803922	0.0142602495543672	0.0301794596361768	0.0205735949082279	0.0261737425545728	0.00999244729742823	0.0344776546982429	0.0196856599819245	0.204156584619663	0.183477341052103	0.18420568566336	1	0.218365026290965	0.20608067325435	0.436684201022966	0.218922167470828	0.206015469551327
"S3_12_15"	0	0	0	0	0.00474127236655458	0.00643520078549004	0.00411788562124637	0.0031386692536352	0.00445008160841103	0.00330261294713419	0.00351582991329034	0.00311802623780849	0.0108033324519777	0.0183567684767952	0.020841275105038	0.0146802541277234	0.0176130287389553	0.0166461929880091	0.0150337400159969	0.0135160727799033	0.37341829877837	0.379617716471085	0.381505443849948	0.218365026290965	1	0.637999690907447	0.0798871751346787	0.348111182537589	0.385505611006086
"S3_21_24"	0	0	0	0	0.00577967766768375	0.00829205181114695	0.00587680982683311	0.00383910475656059	0.00490801874948519	0.00414894342884949	0.00417489564752519	0.00301802003612968	0.0137496335385517	0.0197617065535737	0.0236194240344339	0.0161640125141832	0.018840652952891	0.0194420651766572	0.016973755201289	0.0150402183602364	0.383428031741524	0.426275985123359	0.444669337613357	0.20608067325435	0.637999690907447	1	0.0806810697658234	0.33284802303134	0.365089929596268
"S9_0_3"	0	0.0033516550255614	0	0	0.0181415530620729	0.0248037554705232	0.0155838715707118	0.00829647489960958	0.0103220914979761	0.0105948545970254	0.00487773695965267	0.00199108145963148	0.0396785054236129	0.0441626657209386	0.051482647703982	0.042815073274356	0.0443165184358653	0.043695792898573	0.0485120000152405	0.0380408984471766	0.112586950082226	0.145299523528979	0.129856973744446	0.436684201022966	0.0798871751346787	0.0806810697658234	1	0.17525495178705	0.11959453293375
"S9_12_15"	0	0	0	0	0.0139464101062088	0.017358914388856	0.0164426503585727	0.00703094385642001	0.0118377915133018	0.00841490249639578	0.00575410375091686	0.00330126302153614	0.0309469424768162	0.0387926350930663	0.041325628538985	0.0325704786141665	0.0343630968515058	0.0397228165276335	0.0304090833541095	0.0296840290128592	0.327927110021908	0.37274077215652	0.41002913042429	0.218922167470828	0.348111182537589	0.33284802303134	0.17525495178705	1	0.506101862683718
"S9_21_24"	0	0	0	0	0.0139044589303155	0.0197111668870456	0.0168454232574402	0.00663017256124623	0.0107958090994402	0.00829495526970515	0.00547347713311837	0.00339152664744626	0.0316590221923294	0.0385827985315136	0.0481687751774776	0.0354592637239239	0.03791193224229	0.0419751133558157	0.0349297095366652	0.0329533140430231	0.431808206542122	0.408117745367992	0.439704605378856	0.206015469551327	0.385505611006086	0.365089929596268	0.11959453293375	0.506101862683718	1
