	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-C63_1_V_NODE_6_length_39025_cov_10.540672||full	7.2608254323356	6.82912971165362	6.66425198229582	6.43499237124865
KSW-C63_1_V_NODE_15_length_28017_cov_8.965703||full	4.86196483319821	5.26932259596897	5.94367560770251	5.54698661591734
KSW-C63_1_V_NODE_16_length_27726_cov_176.069531||full	5.87669669601639	5.03788297150476	7.85425922517291	7.89085193377833
KSW-C63_1_V_NODE_17_length_25854_cov_56.078491||full	4.59639582591019	4.75850355598106	7.73716852825433	7.95482626676361
KSW-C63_1_V_NODE_25_length_23667_cov_13.812595||full	3.43735863993487	3.16536571354259	4.072716156316	4.0687847575817
KSW-C63_1_V_NODE_38_length_18895_cov_10.686837||full	4.05020782383709	4.55719768406425	5.43601094364025	5.16091300920306
KSW-C63_1_V_NODE_43_length_17848_cov_6.350587||full	3.17928590080638	2.53901901765115	4.83105319218137	4.62005218245783
KSW-C63_1_V_NODE_47_length_17634_cov_152.295296||full	4.3536196692021	3.89961208311807	7.58280857227273	6.9364974844329
KSW-C63_1_V_NODE_62_length_15160_cov_877.088514||full	5.40060307933728	5.98622970963603	12.789869194318	13.0534643043361
KSW-C63_1_V_NODE_66_length_14776_cov_17.037294||full	5.22827934702382	4.62783312435849	5.16674482212183	5.54698661591734
KSW-C63_1_V_NODE_72_length_14259_cov_5.976415||full	2.53901901765115	4.12772345370812	4.072716156316	5.00368996020601
KSW-C63_1_V_NODE_76_length_14099_cov_10.736115||full	4.05020782383709	4.22665873055487	5.6614931931391	5.00368996020601
KSW-C63_1_V_NODE_82_length_13870_cov_3.241260||full	2.53901901765115	2.53901901765115	3.64780911870078	3.64484888295108
KSW-C63_1_V_NODE_83_length_13799_cov_50.324796||full	3.17928590080638	3.60781406348217	7.92020246030762	8.57291501009789
KSW-C63_1_V_NODE_88_length_13464_cov_10.686256||full	6.0140791275085	6.19928523486182	5.76195571657766	6.24242351126227
KSW-C63_1_V_NODE_100_length_12227_cov_9.707033||full	2.53901901765115	3.41811642011516	3.64780911870078	4.0687847575817
KSW-C63_1_V_NODE_103_length_11957_cov_18.367753||full	3.92818559683557	4.12772345370812	4.62505266837835	4.82571182891946
KSW-C63_1_V_NODE_104_length_11951_cov_7.146772||full	3.17928590080638	3.89961208311807	6.2493614536954	5.93698565630794
KSW-C63_1_V_NODE_113_length_11624_cov_34.770853||full	6.75343166198387	6.42268528588037	7.66205542408967	8.55926498003901
KSW-C63_1_V_NODE_137_length_10566_cov_116.858529||full	7.17034370306719	6.42268528588037	8.5533260738644	8.62625860736448
KSW-C63_1_V_NODE_138_length_10558_cov_6.083976||full	2.53901901765115	3.16536571354259	4.072716156316	2.53901901765115
KSW-C63_1_V_NODE_142_length_10388_cov_58.545534||full	3.43735863993487	2.53901901765115	4.37970386996405	5.30191295024798
KSW-C63_1_V_NODE_152_length_9949_cov_3.949161||full	4.92077969664054	7.59120872271964	5.55329009972692	5.93698565630794
KSW-C63_1_V_NODE_156_length_9828_cov_5.608513||full	3.43735863993487	3.16536571354259	4.37970386996405	5.75543524044145
KSW-C63_1_V_NODE_160_length_9676_cov_6.061532||full	3.17928590080638	2.53901901765115	4.072716156316	4.82571182891946
KSW-C63_1_V_NODE_171_length_9466_cov_67.890872||full	3.63087240897663	3.76440533681124	5.8557332264266	6.37364326656827
KSW-C63_1_V_NODE_177_length_9289_cov_4.197856||full	3.17928590080638	3.16536571354259	2.53901901765115	2.53901901765115
KSW-C63_1_V_NODE_179_length_9235_cov_6.061329||full	2.53901901765115	3.16536571354259	3.64780911870078	2.53901901765115
KSW-C63_1_V_NODE_183_length_9223_cov_5.018106||full	3.92818559683557	4.55719768406425	2.53901901765115	2.53901901765115
KSW-C63_1_V_NODE_184_length_9211_cov_6.941896||full	3.17928590080638	4.31798476793454	5.16674482212183	5.30191295024798
KSW-C63_1_V_NODE_196_length_8942_cov_7.965005||full	5.18160903543016	4.31798476793454	5.16674482212183	4.37515032793527
KSW-C63_1_V_NODE_202_length_8874_cov_5.376460||full	2.53901901765115	2.53901901765115	2.53901901765115	3.64484888295108
KSW-C63_1_V_NODE_215_length_8562_cov_5.551663||full	2.53901901765115	3.60781406348217	4.62505266837835	2.53901901765115
KSW-C63_1_V_NODE_217_length_8528_cov_17.696920||full	2.53901901765115	3.41811642011516	3.64780911870078	5.16091300920306
KSW-C63_1_V_NODE_224_length_8418_cov_20.240105||full	4.59639582591019	4.40292894456426	6.76363164735915	6.17198985412957
KSW-C63_1_V_NODE_225_length_8385_cov_6.696999||full	2.53901901765115	2.53901901765115	4.37970386996405	4.62005218245783
KSW-C63_1_V_NODE_226_length_8363_cov_11.316081||full	2.53901901765115	3.16536571354259	2.53901901765115	4.37515032793527
KSW-C63_1_V_NODE_247_length_7959_cov_6.985071||full	3.63087240897663	3.16536571354259	2.53901901765115	3.64484888295108
KSW-C63_1_V_NODE_250_length_7950_cov_48.674478||full	2.53901901765115	2.53901901765115	2.53901901765115	4.37515032793527
KSW-C63_1_V_NODE_264_length_7749_cov_87.723551||full	5.08320506388533	5.0874158047157	5.30792807924474	5.65507408745613
KSW-C63_1_V_NODE_268_length_7673_cov_6.599107||full	3.17928590080638	2.53901901765115	2.53901901765115	2.53901901765115
KSW-C63_1_V_NODE_279_length_7515_cov_4.047185||full	3.17928590080638	3.41811642011516	5.43601094364025	5.00368996020601
KSW-C63_1_V_NODE_282_length_7485_cov_4.072544||full	4.66801697375939	4.69480429344407	4.072716156316	2.53901901765115
