Contig	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-C63_1_V_NODE_16_length_27726_cov_176.069531||full	82	40	122	126
KSW-C63_1_V_NODE_17_length_25854_cov_56.078491||full	24	30	112	132
KSW-C63_1_V_NODE_25_length_23667_cov_13.812595||full	4	2	4	4
KSW-C63_1_V_NODE_38_length_18895_cov_10.686837||full	12	24	18	14
KSW-C63_1_V_NODE_43_length_17848_cov_6.350587||full	2	0	10	8
KSW-C63_1_V_NODE_47_length_17634_cov_152.295296||full	18	10	100	62
KSW-C63_1_V_NODE_62_length_15160_cov_877.088514||full	54	94	3922	4736
KSW-C63_1_V_NODE_66_length_14776_cov_17.037294||full	46	26	14	20
KSW-C63_1_V_NODE_72_length_14259_cov_5.976415||full	0	14	4	12
KSW-C63_1_V_NODE_76_length_14099_cov_10.736115||full	12	16	22	12
KSW-C63_1_V_NODE_82_length_13870_cov_3.241260||full	0	0	2	2
KSW-C63_1_V_NODE_83_length_13799_cov_50.324796||full	2	6	128	206
KSW-C63_1_V_NODE_88_length_13464_cov_10.686256||full	92	112	24	36
KSW-C63_1_V_NODE_100_length_12227_cov_9.707033||full	0	4	2	4
KSW-C63_1_V_NODE_103_length_11957_cov_18.367753||full	10	14	8	10
KSW-C63_1_V_NODE_104_length_11951_cov_7.146772||full	2	10	36	28
KSW-C63_1_V_NODE_113_length_11624_cov_34.770853||full	166	134	106	204
KSW-C63_1_V_NODE_137_length_10566_cov_116.858529||full	228	134	202	214
KSW-C63_1_V_NODE_138_length_10558_cov_6.083976||full	0	2	4	0
KSW-C63_1_V_NODE_142_length_10388_cov_58.545534||full	4	0	6	16
KSW-C63_1_V_NODE_152_length_9949_cov_3.949161||full	34	326	20	28
KSW-C63_1_V_NODE_156_length_9828_cov_5.608513||full	4	2	6	24
KSW-C63_1_V_NODE_160_length_9676_cov_6.061532||full	2	0	4	10
KSW-C63_1_V_NODE_171_length_9466_cov_67.890872||full	6	8	26	40
KSW-C63_1_V_NODE_177_length_9289_cov_4.197856||full	2	2	0	0
KSW-C63_1_V_NODE_179_length_9235_cov_6.061329||full	0	2	2	0
KSW-C63_1_V_NODE_183_length_9223_cov_5.018106||full	10	24	0	0
KSW-C63_1_V_NODE_184_length_9211_cov_6.941896||full	2	18	14	16
KSW-C63_1_V_NODE_196_length_8942_cov_7.965005||full	44	18	14	6
KSW-C63_1_V_NODE_202_length_8874_cov_5.376460||full	0	0	0	2
KSW-C63_1_V_NODE_215_length_8562_cov_5.551663||full	0	6	8	0
KSW-C63_1_V_NODE_217_length_8528_cov_17.696920||full	0	4	2	14
KSW-C63_1_V_NODE_224_length_8418_cov_20.240105||full	24	20	54	34
KSW-C63_1_V_NODE_225_length_8385_cov_6.696999||full	0	0	6	8
KSW-C63_1_V_NODE_226_length_8363_cov_11.316081||full	0	2	0	6
