Contig	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-cf_coassembly_k141_35210||full	102	56	56	18
KSW-cf_coassembly_k141_2588568||full	286	156	206	402
KSW-cf_coassembly_k141_1511135||full	0	2	0	0
KSW-cf_coassembly_k141_3530031||full	958	726	64	52
KSW-cf_coassembly_k141_1645162||full	398	162	0	4
KSW-cf_coassembly_k141_1381215||full	490	254	114	78
KSW-cf_coassembly_k141_2052358||full	12	18	0	6
KSW-cf_coassembly_k141_1109883||full	4	38	2	0
KSW-cf_coassembly_k141_3935045||full	38	54	12	20
KSW-cf_coassembly_k141_2993887||full	2	10	0	0
KSW-cf_coassembly_k141_706755||full	18	26	0	0
KSW-cf_coassembly_k141_1246364||full	38	118	2	4
KSW-cf_coassembly_k141_2052909||full	2	8	0	4
KSW-cf_coassembly_k141_3264186||full	76	378	66	20
KSW-cf_coassembly_k141_2589444||full	6	8	2	8
KSW-cf_coassembly_k141_1110508||full	18	96	0	0
KSW-cf_coassembly_k141_3935633||full	38	182	2	4
KSW-cf_coassembly_k141_1646152||full	84	146	2	6
KSW-cf_coassembly_k141_3264694||full	2	30	0	2
KSW-cf_coassembly_k141_1111067||full	28	58	8	6
KSW-cf_coassembly_k141_3532028||full	38	50	20	4
KSW-cf_coassembly_k141_2186898||full	14	30	2	0
KSW-cf_coassembly_k141_2187028||full	66	20	4	8
KSW-cf_coassembly_k141_1111810||full	10	32	62	132
KSW-cf_coassembly_k141_2591260||full	232	120	20	10
KSW-cf_coassembly_k141_1248163||full	40	82	6	0
KSW-cf_coassembly_k141_2591490||full	112	66	8	4
KSW-cf_coassembly_k141_306713||full	1022	874	250	222
KSW-cf_coassembly_k141_3937593||full	6	40	6	2
KSW-cf_coassembly_k141_3533343||full	66	456	6	6
KSW-cf_coassembly_k141_1918536||full	62	148	4	0
KSW-cf_coassembly_k141_1248748||full	94	110	44	32
KSW-cf_coassembly_k141_2728385||full	140	102	8	6
KSW-cf_coassembly_k141_579356||full	52	62	38	48
KSW-cf_coassembly_k141_307544||full	28	128	2	12
KSW-cf_coassembly_k141_443360||full	14	44	60	112
KSW-cf_coassembly_k141_172047||full	2	22	0	4
KSW-cf_coassembly_k141_977734||full	416	700	208	114
KSW-cf_coassembly_k141_2997708||full	4	4	0	2
KSW-cf_coassembly_k141_307995||full	52	34	12	10
KSW-cf_coassembly_k141_1515557||full	54	176	16	14
KSW-cf_coassembly_k141_173001||full	38	76	570	302
KSW-cf_coassembly_k141_2593537||full	12	26	2	0
KSW-cf_coassembly_k141_1649852||full	876	604	74	108
KSW-cf_coassembly_k141_1516527||full	48	176	18	6
KSW-cf_coassembly_k141_3670863||full	4	18	0	4
KSW-cf_coassembly_k141_3535802||full	40	126	0	0
KSW-cf_coassembly_k141_445253||full	28	42	36	40
KSW-cf_coassembly_k141_1115547||full	2530	1432	84	64
KSW-cf_coassembly_k141_173893||full	4	44	4	0
KSW-cf_coassembly_k141_3803909||full	22	56	4	4
KSW-cf_coassembly_k141_848150||full	84	20	218	684
KSW-cf_coassembly_k141_1650809||full	2308	1182	134	126
KSW-cf_coassembly_k141_2594811||full	42	76	8	6
KSW-cf_coassembly_k141_980460||full	40	106	0	4
KSW-cf_coassembly_k141_582749||full	200	90	22	30
KSW-cf_coassembly_k141_582774||full	8	72	46	144
KSW-cf_coassembly_k141_712502||full	4	26	0	0
KSW-cf_coassembly_k141_2192169||full	64	78	6	12
KSW-cf_coassembly_k141_849119||full	14	22	212	620
KSW-cf_coassembly_k141_2329593||full	12	20	0	0
KSW-cf_coassembly_k141_981292||full	10	44	2	0
KSW-cf_coassembly_k141_1789528||full	18	188	8	8
KSW-cf_coassembly_k141_3402940||full	0	20	4	0
KSW-cf_coassembly_k141_175457||full	12	40	2	4
KSW-cf_coassembly_k141_1652087||full	304	120	40	36
KSW-cf_coassembly_k141_3001357||full	36	106	4	6
KSW-cf_coassembly_k141_1923026||full	0	10	6	0
KSW-cf_coassembly_k141_2193679||full	522	378	70	110
KSW-cf_coassembly_k141_3943093||full	30	10	4	4
KSW-cf_coassembly_k141_1653188||full	866	864	156	160
KSW-cf_coassembly_k141_44693||full	0	10	2	0
KSW-cf_coassembly_k141_176697||full	0	10	0	0
KSW-cf_coassembly_k141_2194091||full	98	106	50	74
KSW-cf_coassembly_k141_983115||full	18	24	2	0
KSW-cf_coassembly_k141_585084||full	22	56	2	2
KSW-cf_coassembly_k141_2597318||full	0	0	142	178
KSW-cf_coassembly_k141_2331414||full	58	58	12	48
KSW-cf_coassembly_k141_2331597||full	204	740	48	32
KSW-cf_coassembly_k141_1520594||full	10	10	100	22
KSW-cf_coassembly_k141_3943969||full	6	6	56	154
KSW-cf_coassembly_k141_313114||full	12	6	0	0
KSW-cf_coassembly_k141_1255161||full	28	18	0	0
KSW-cf_coassembly_k141_2194864||full	16	24	4	0
KSW-cf_coassembly_k141_3807610||full	112	248	26	22
KSW-cf_coassembly_k141_2195131||full	4	20	2	4
KSW-cf_coassembly_k141_1392011||full	18	72	8	0
KSW-cf_coassembly_k141_1654808||full	864	414	296	190
KSW-cf_coassembly_k141_852421||full	0	8	414	534
KSW-cf_coassembly_k141_1392148||full	6	4	8	0
KSW-cf_coassembly_k141_2598954||full	936	610	398	40
KSW-cf_coassembly_k141_1792640||full	112	148	16	10
KSW-cf_coassembly_k141_3003950||full	20	86	0	0
KSW-cf_coassembly_k141_984823||full	52	162	16	8
KSW-cf_coassembly_k141_2333128||full	70	198	24	8
KSW-cf_coassembly_k141_3945447||full	2	22	0	0
KSW-cf_coassembly_k141_3004238||full	110	60	12	36
KSW-cf_coassembly_k141_179192||full	50	214	14	2
KSW-cf_coassembly_k141_587553||full	18	30	6	0
KSW-cf_coassembly_k141_716188||full	6	16	0	0
KSW-cf_coassembly_k141_3945840||full	162	118	2	0
KSW-cf_coassembly_k141_2736762||full	26	66	6	24
KSW-cf_coassembly_k141_3004717||full	332	448	16	8
KSW-cf_coassembly_k141_3005180||full	0	10	300	354
KSW-cf_coassembly_k141_1656410||full	152	100	10	16
KSW-cf_coassembly_k141_2870422||full	10	14	4	10
KSW-cf_coassembly_k141_3809566||full	4004	2302	360	272
KSW-cf_coassembly_k141_451597||full	304	238	48	88
KSW-cf_coassembly_k141_589052||full	10	34	4	0
KSW-cf_coassembly_k141_589327||full	20	100	8	12
KSW-cf_coassembly_k141_1794841||full	46	52	138	112
KSW-cf_coassembly_k141_589353||full	6	16	0	0
KSW-cf_coassembly_k141_1927799||full	8	38	0	0
KSW-cf_coassembly_k141_1657709||full	12	40	2	2
KSW-cf_coassembly_k141_1395258||full	42	54	96	136
KSW-cf_coassembly_k141_49000||full	2	16	2	0
KSW-cf_coassembly_k141_1122676||full	194	804	78	36
KSW-cf_coassembly_k141_49104||full	58	90	8	6
KSW-cf_coassembly_k141_1259170||full	8	36	0	12
KSW-cf_coassembly_k141_3543698||full	208	202	522	712
KSW-cf_coassembly_k141_1658217||full	292	142	14	32
KSW-cf_coassembly_k141_2065686||full	8	100	10	0
KSW-cf_coassembly_k141_3007376||full	46	44	12	66
KSW-cf_coassembly_k141_1396349||full	80	122	24	38
KSW-cf_coassembly_k141_1796555||full	2	10	0	6
KSW-cf_coassembly_k141_317986||full	80	308	16	12
KSW-cf_coassembly_k141_1796904||full	146	248	20	16
KSW-cf_coassembly_k141_1659185||full	400	128	4	0
KSW-cf_coassembly_k141_2740792||full	174	146	8	8
KSW-cf_coassembly_k141_2741016||full	34	40	10	28
KSW-cf_coassembly_k141_183639||full	344	158	38	40
KSW-cf_coassembly_k141_1659922||full	0	0	12	60
KSW-cf_coassembly_k141_3545668||full	0	2	232	332
KSW-cf_coassembly_k141_51884||full	8	38	2	0
KSW-cf_coassembly_k141_2338755||full	22	68	10	2
KSW-cf_coassembly_k141_990490||full	4	26	4	2
KSW-cf_coassembly_k141_3813585||full	36	72	4	2
KSW-cf_coassembly_k141_1931468||full	756	530	72	108
KSW-cf_coassembly_k141_1261882||full	68	284	8	4
KSW-cf_coassembly_k141_3279361||full	48	50	22	24
KSW-cf_coassembly_k141_721709||full	222	178	22	34
KSW-cf_coassembly_k141_3682399||full	344	168	16	50
KSW-cf_coassembly_k141_991064||full	6	16	0	0
KSW-cf_coassembly_k141_185145||full	8	40	0	2
KSW-cf_coassembly_k141_859429||full	10	6	16	14
KSW-cf_coassembly_k141_185366||full	158	138	1104	2054
KSW-cf_coassembly_k141_859675||full	16	26	40	26
KSW-cf_coassembly_k141_320562||full	36	94	2	4
KSW-cf_coassembly_k141_2340402||full	394	224	48	48
KSW-cf_coassembly_k141_185672||full	20	104	8	16
KSW-cf_coassembly_k141_3143506||full	4	6	162	40
KSW-cf_coassembly_k141_1399791||full	10	56	4	8
KSW-cf_coassembly_k141_457750||full	438	248	4	0
KSW-cf_coassembly_k141_1662395||full	278	110	60	50
KSW-cf_coassembly_k141_2606937||full	16	42	8	8
KSW-cf_coassembly_k141_2070188||full	2	22	6	2
KSW-cf_coassembly_k141_992772||full	40	94	12	4
KSW-cf_coassembly_k141_187015||full	40	58	20	12
KSW-cf_coassembly_k141_187029||full	14	22	0	6
KSW-cf_coassembly_k141_2472447||full	26	50	8	4
KSW-cf_coassembly_k141_54910||full	0	4	136	132
KSW-cf_coassembly_k141_1801529||full	2	12	0	2
KSW-cf_coassembly_k141_1801779||full	4	10	2	0
KSW-cf_coassembly_k141_993651||full	2	8	4	0
KSW-cf_coassembly_k141_994049||full	14	8	0	0
KSW-cf_coassembly_k141_861923||full	40	156	8	4
KSW-cf_coassembly_k141_596674||full	188	512	22	18
KSW-cf_coassembly_k141_861943||full	26	80	8	4
KSW-cf_coassembly_k141_2877632||full	12	4	46	40
KSW-cf_coassembly_k141_1531486||full	10	8	0	8
KSW-cf_coassembly_k141_3550051||full	4	20	8	0
KSW-cf_coassembly_k141_322923||full	176	102	20	20
KSW-cf_coassembly_k141_2204998||full	56	128	14	32
KSW-cf_coassembly_k141_188347||full	0	18	0	0
KSW-cf_coassembly_k141_460332||full	14	2	6	6
KSW-cf_coassembly_k141_3686396||full	72	94	714	680
KSW-cf_coassembly_k141_1266337||full	20	40	16	10
KSW-cf_coassembly_k141_1130483||full	14	16	6	10
KSW-cf_coassembly_k141_3284126||full	164	82	46	34
KSW-cf_coassembly_k141_57089||full	26	110	6	0
KSW-cf_coassembly_k141_461418||full	2386	1108	818	514
KSW-cf_coassembly_k141_1533192||full	84	98	26	40
KSW-cf_coassembly_k141_3957360||full	0	44	0	0
KSW-cf_coassembly_k141_3015303||full	10	14	0	0
KSW-cf_coassembly_k141_864630||full	190	74	2	0
KSW-cf_coassembly_k141_189954||full	10	20	2	0
KSW-cf_coassembly_k141_3818879||full	458	648	104	82
KSW-cf_coassembly_k141_3688037||full	10	2	190	388
KSW-cf_coassembly_k141_2611709||full	0	2	0	0
KSW-cf_coassembly_k141_1405010||full	0	6	68	112
KSW-cf_coassembly_k141_190839||full	0	2	192	216
KSW-cf_coassembly_k141_728866||full	160	156	6	2
KSW-cf_coassembly_k141_1668050||full	38	82	10	16
KSW-cf_coassembly_k141_3958939||full	712	576	24	22
KSW-cf_coassembly_k141_2209090||full	166	84	8	20
KSW-cf_coassembly_k141_2076433||full	8	34	0	0
KSW-cf_coassembly_k141_2348062||full	0	12	0	0
KSW-cf_coassembly_k141_3150835||full	10	12	0	0
KSW-cf_coassembly_k141_1668982||full	8	16	2	6
KSW-cf_coassembly_k141_3287826||full	48	44	2	4
KSW-cf_coassembly_k141_2478534||full	0	6	0	0
KSW-cf_coassembly_k141_1669184||full	366	412	66	54
KSW-cf_coassembly_k141_1669361||full	0	4	2	16
KSW-cf_coassembly_k141_1669626||full	48	140	2	2
KSW-cf_coassembly_k141_2348975||full	300	190	52	16
KSW-cf_coassembly_k141_1000109||full	2	28	0	0
KSW-cf_coassembly_k141_2614073||full	0	2	0	0
KSW-cf_coassembly_k141_2479315||full	82	106	0	4
KSW-cf_coassembly_k141_465740||full	0	20	0	0
KSW-cf_coassembly_k141_3152307||full	20	34	0	0
KSW-cf_coassembly_k141_3822568||full	6	12	12	8
KSW-cf_coassembly_k141_2882978||full	124	54	10	18
KSW-cf_coassembly_k141_2349841||full	104	166	12	28
KSW-cf_coassembly_k141_1000874||full	44	146	6	0
KSW-cf_coassembly_k141_2211604||full	4	32	0	2
KSW-cf_coassembly_k141_2883498||full	52	122	10	0
KSW-cf_coassembly_k141_1001279||full	392	458	154	106
KSW-cf_coassembly_k141_2615115||full	612	342	25966	15194
KSW-cf_coassembly_k141_3691765||full	396	224	58	46
KSW-cf_coassembly_k141_2480202||full	10	92	0	4
KSW-cf_coassembly_k141_3422768||full	10	4	68	52
KSW-cf_coassembly_k141_2615528||full	24	46	8	4
KSW-cf_coassembly_k141_193772||full	2	8	0	0
KSW-cf_coassembly_k141_3824263||full	800	2748	168	114
KSW-cf_coassembly_k141_1672000||full	36	124	6	4
KSW-cf_coassembly_k141_1137852||full	392	1590	46	20
KSW-cf_coassembly_k141_3423739||full	40	126	10	4
KSW-cf_coassembly_k141_331915||full	18	30	6	0
KSW-cf_coassembly_k141_2616644||full	12	26	0	0
KSW-cf_coassembly_k141_3423892||full	6	24	2	2
KSW-cf_coassembly_k141_332042||full	22	6	14	40
KSW-cf_coassembly_k141_2885309||full	36	146	10	12
KSW-cf_coassembly_k141_2481719||full	6	10	2	0
KSW-cf_coassembly_k141_606900||full	4	44	10	0
KSW-cf_coassembly_k141_2755593||full	6	10	6	8
KSW-cf_coassembly_k141_1138748||full	1678	1744	452	550
KSW-cf_coassembly_k141_2617720||full	102	144	4	6
KSW-cf_coassembly_k141_2353094||full	0	4	18	24
KSW-cf_coassembly_k141_3694414||full	6	54	2	0
KSW-cf_coassembly_k141_1004202||full	2	4	6	16
KSW-cf_coassembly_k141_3560309||full	110	506	40	16
KSW-cf_coassembly_k141_1673452||full	12	16	62	140
KSW-cf_coassembly_k141_3825955||full	2	6	4	0
KSW-cf_coassembly_k141_1275667||full	4	8	0	0
KSW-cf_coassembly_k141_3965448||full	22	54	50	150
KSW-cf_coassembly_k141_3965530||full	12	60	14	4
KSW-cf_coassembly_k141_2887369||full	328	250	20	46
KSW-cf_coassembly_k141_1542396||full	0	26	0	0
KSW-cf_coassembly_k141_3561374||full	10	28	2	2
KSW-cf_coassembly_k141_873814||full	142	190	12	6
KSW-cf_coassembly_k141_1674828||full	186	308	308	570
KSW-cf_coassembly_k141_3426929||full	24	98	6	0
KSW-cf_coassembly_k141_2619994||full	6	4	112	406
KSW-cf_coassembly_k141_1675180||full	4	22	10	2
KSW-cf_coassembly_k141_335354||full	186	198	8	16
KSW-cf_coassembly_k141_736821||full	28	100	202	126
KSW-cf_coassembly_k141_609703||full	50	52	64	36
KSW-cf_coassembly_k141_335550||full	76	40	14	14
KSW-cf_coassembly_k141_2084080||full	66	74	0	0
KSW-cf_coassembly_k141_3158030||full	68	70	24	18
KSW-cf_coassembly_k141_68105||full	6	16	0	0
KSW-cf_coassembly_k141_874925||full	68	186	2	6
KSW-cf_coassembly_k141_2620632||full	2	2	72	218
KSW-cf_coassembly_k141_3296187||full	88	120	16	6
KSW-cf_coassembly_k141_336382||full	26	64	2	0
KSW-cf_coassembly_k141_3563091||full	26	44	2	0
KSW-cf_coassembly_k141_1278648||full	0	6	0	0
KSW-cf_coassembly_k141_472504||full	22	96	0	2
KSW-cf_coassembly_k141_1279066||full	6	20	4	0
KSW-cf_coassembly_k141_2085606||full	14	46	4	0
KSW-cf_coassembly_k141_3968066||full	108	118	16	22
KSW-cf_coassembly_k141_2218386||full	4	18	0	4
KSW-cf_coassembly_k141_3563762||full	2	10	0	0
KSW-cf_coassembly_k141_2621859||full	64	32	32	20
KSW-cf_coassembly_k141_69525||full	764	334	210	224
KSW-cf_coassembly_k141_1816490||full	2142	1592	390	756
KSW-cf_coassembly_k141_3159832||full	10	26	0	0
KSW-cf_coassembly_k141_3026643||full	152	128	22	38
KSW-cf_coassembly_k141_3429252||full	14	62	0	2
KSW-cf_coassembly_k141_1279979||full	0	2	154	54
KSW-cf_coassembly_k141_1816976||full	58	10	10	4
KSW-cf_coassembly_k141_739178||full	0	2	0	0
KSW-cf_coassembly_k141_200610||full	44	16	2	8
KSW-cf_coassembly_k141_473896||full	0	18	2	2
KSW-cf_coassembly_k141_876864||full	2	0	54	276
KSW-cf_coassembly_k141_338321||full	0	0	64	652
KSW-cf_coassembly_k141_3160661||full	130	64	4	0
KSW-cf_coassembly_k141_1817503||full	342	296	68	56
KSW-cf_coassembly_k141_70360||full	6	2	4	0
KSW-cf_coassembly_k141_2087012||full	50	194	16	6
KSW-cf_coassembly_k141_201098||full	4	14	2	0
KSW-cf_coassembly_k141_3161010||full	136	102	148	224
KSW-cf_coassembly_k141_338956||full	134	188	6	6
KSW-cf_coassembly_k141_3830898||full	62	116	14	10
KSW-cf_coassembly_k141_1416577||full	8	6	2	0
KSW-cf_coassembly_k141_1009908||full	138	68	28	20
KSW-cf_coassembly_k141_1678973||full	14	16	0	0
KSW-cf_coassembly_k141_3298995||full	52	94	8	6
KSW-cf_coassembly_k141_201850||full	20	18	940	870
KSW-cf_coassembly_k141_2762050||full	12	70	8	4
KSW-cf_coassembly_k141_2488156||full	12	102	2	34
KSW-cf_coassembly_k141_614009||full	88	62	14	40
KSW-cf_coassembly_k141_339741||full	30	64	18	6
KSW-cf_coassembly_k141_3028580||full	18	34	4	2
KSW-cf_coassembly_k141_1679611||full	18	24	0	2
KSW-cf_coassembly_k141_3700334||full	0	16	0	0
KSW-cf_coassembly_k141_2488719||full	38	24	0	0
KSW-cf_coassembly_k141_1282315||full	258	426	54	22
KSW-cf_coassembly_k141_3431926||full	8	50	0	6
KSW-cf_coassembly_k141_1547450||full	0	2	4	12
KSW-cf_coassembly_k141_3163003||full	36	176	6	0
KSW-cf_coassembly_k141_203102||full	8	18	0	280
KSW-cf_coassembly_k141_879315||full	22	236	16	2
KSW-cf_coassembly_k141_3701153||full	18	90	2	4
KSW-cf_coassembly_k141_2221663||full	16	22	2	8
KSW-cf_coassembly_k141_72956||full	32	68	116	40
KSW-cf_coassembly_k141_3301200||full	0	10	2	0
KSW-cf_coassembly_k141_1681472||full	12	2	988	514
KSW-cf_coassembly_k141_2894267||full	158	108	8	4
KSW-cf_coassembly_k141_3701898||full	4	20	2	2
KSW-cf_coassembly_k141_341629||full	4	16	0	0
KSW-cf_coassembly_k141_1147601||full	48	294	6	6
KSW-cf_coassembly_k141_1821069||full	96	182	12	8
KSW-cf_coassembly_k141_2490881||full	202	474	28	14
KSW-cf_coassembly_k141_3434188||full	48	40	10	20
KSW-cf_coassembly_k141_2626878||full	8	30	2	2
KSW-cf_coassembly_k141_1953805||full	0	2	112	108
KSW-cf_coassembly_k141_1682742||full	48	110	46	18
KSW-cf_coassembly_k141_478199||full	34	108	6	10
KSW-cf_coassembly_k141_1821782||full	170	84	866	1174
KSW-cf_coassembly_k141_617027||full	14	124	2	2
KSW-cf_coassembly_k141_3031838||full	228	180	114	222
KSW-cf_coassembly_k141_3703214||full	10	100	4	0
KSW-cf_coassembly_k141_1148934||full	0	2	264	242
KSW-cf_coassembly_k141_3703392||full	16	14	0	0
KSW-cf_coassembly_k141_1954540||full	54	68	6	2
KSW-cf_coassembly_k141_75309||full	116	56	8	30
KSW-cf_coassembly_k141_343382||full	22	6	0	0
KSW-cf_coassembly_k141_2628035||full	76	224	10	14
KSW-cf_coassembly_k141_1149484||full	0	42	0	0
KSW-cf_coassembly_k141_206239||full	6	8	26	12
KSW-cf_coassembly_k141_1286182||full	14	10	118	114
KSW-cf_coassembly_k141_3304119||full	102	172	14	8
KSW-cf_coassembly_k141_1551518||full	200	102	26	38
KSW-cf_coassembly_k141_618758||full	2	2	0	8
KSW-cf_coassembly_k141_3304675||full	2	16	0	0
KSW-cf_coassembly_k141_1421880||full	24	32	0	0
KSW-cf_coassembly_k141_2767747||full	310	492	0	0
KSW-cf_coassembly_k141_2629445||full	448	690	654	1094
KSW-cf_coassembly_k141_207622||full	250	220	168	98
KSW-cf_coassembly_k141_3572018||full	36	54	4	2
KSW-cf_coassembly_k141_345426||full	68	84	6	2
KSW-cf_coassembly_k141_345486||full	4	16	4	4
KSW-cf_coassembly_k141_3167730||full	10	78	2	2
KSW-cf_coassembly_k141_2365873||full	6	30	2	2
KSW-cf_coassembly_k141_1017099||full	0	0	16	38
KSW-cf_coassembly_k141_3572647||full	20	124	4	6
KSW-cf_coassembly_k141_481933||full	384	312	34	90
KSW-cf_coassembly_k141_620458||full	138	60	8	16
KSW-cf_coassembly_k141_3306325||full	6	22	0	0
KSW-cf_coassembly_k141_3306390||full	4	0	90	96
KSW-cf_coassembly_k141_2227610||full	632	416	40	26
KSW-cf_coassembly_k141_3573161||full	2194	1148	246	210
KSW-cf_coassembly_k141_2366871||full	4	12	2	8
KSW-cf_coassembly_k141_1553583||full	2	16	0	0
KSW-cf_coassembly_k141_3438426||full	24	12	2	4
KSW-cf_coassembly_k141_1958113||full	10	44	20	0
KSW-cf_coassembly_k141_78854||full	4	8	0	0
KSW-cf_coassembly_k141_3438732||full	20	32	0	0
KSW-cf_coassembly_k141_2094994||full	18	28	70	108
KSW-cf_coassembly_k141_78957||full	30	34	8	6
KSW-cf_coassembly_k141_3839003||full	30	124	8	4
KSW-cf_coassembly_k141_748268||full	8	16	0	0
KSW-cf_coassembly_k141_3036082||full	750	496	82	74
KSW-cf_coassembly_k141_1018906||full	10	38	10	2
KSW-cf_coassembly_k141_79331||full	4	14	0	0
KSW-cf_coassembly_k141_1554437||full	0	0	174	148
KSW-cf_coassembly_k141_1425170||full	10	26	2	2
KSW-cf_coassembly_k141_1425213||full	0	2	0	0
KSW-cf_coassembly_k141_3708851||full	10	72	0	0
KSW-cf_coassembly_k141_1826262||full	18	36	0	0
KSW-cf_coassembly_k141_2632697||full	4206	2164	616	686
KSW-cf_coassembly_k141_1425519||full	4	0	812	7032
KSW-cf_coassembly_k141_2771389||full	64	356	20	6
KSW-cf_coassembly_k141_2497971||full	242	132	38	42
KSW-cf_coassembly_k141_1827024||full	34	146	2	8
KSW-cf_coassembly_k141_3575506||full	1080	934	332	272
KSW-cf_coassembly_k141_3171503||full	270	204	6	30
KSW-cf_coassembly_k141_2772212||full	0	14	2	2
KSW-cf_coassembly_k141_1292022||full	46	104	2	2
KSW-cf_coassembly_k141_3710460||full	30	84	790	802
KSW-cf_coassembly_k141_1155624||full	12	24	2	0
KSW-cf_coassembly_k141_1292599||full	62	44	8	0
KSW-cf_coassembly_k141_2499743||full	0	2	0	0
KSW-cf_coassembly_k141_3038433||full	26	32	52	64
KSW-cf_coassembly_k141_2500113||full	42	12	12	10
KSW-cf_coassembly_k141_350987||full	110	512	46	52
KSW-cf_coassembly_k141_3982682||full	32	174	6	4
KSW-cf_coassembly_k141_1023046||full	8	10	0	0
KSW-cf_coassembly_k141_3983068||full	1316	658	246	296
KSW-cf_coassembly_k141_2904365||full	46	64	6	4
KSW-cf_coassembly_k141_1692054||full	256	378	44	28
KSW-cf_coassembly_k141_2774851||full	14	90	0	8
KSW-cf_coassembly_k141_3039522||full	80	48	20	1278
KSW-cf_coassembly_k141_2233001||full	14	14	0	350
KSW-cf_coassembly_k141_891050||full	0	0	736	1044
KSW-cf_coassembly_k141_3578890||full	44	106	4	0
KSW-cf_coassembly_k141_2100046||full	6	16	2	6
KSW-cf_coassembly_k141_2100096||full	1586	1008	428	328
KSW-cf_coassembly_k141_3579813||full	10	30	2	0
KSW-cf_coassembly_k141_1024216||full	40	172	28	26
KSW-cf_coassembly_k141_2502008||full	10	18	6	0
KSW-cf_coassembly_k141_2502571||full	54	50	24	38
KSW-cf_coassembly_k141_2776938||full	48	142	0	4
KSW-cf_coassembly_k141_753952||full	6	2	0	2
KSW-cf_coassembly_k141_3314436||full	86	112	82	406
KSW-cf_coassembly_k141_1965493||full	1046	556	244	226
KSW-cf_coassembly_k141_2375102||full	48	42	12	14
KSW-cf_coassembly_k141_3446061||full	8	30	0	4
KSW-cf_coassembly_k141_1561239||full	26	60	0	0
KSW-cf_coassembly_k141_1965869||full	0	0	70	120
KSW-cf_coassembly_k141_1160329||full	6	28	4	8
KSW-cf_coassembly_k141_2639265||full	0	12	2	30
KSW-cf_coassembly_k141_3582087||full	4	58	4	4
KSW-cf_coassembly_k141_1833143||full	66	36	322	410
KSW-cf_coassembly_k141_3315725||full	2	18	2	2
KSW-cf_coassembly_k141_2908342||full	14	76	2	4
KSW-cf_coassembly_k141_1298053||full	0	2	0	2
KSW-cf_coassembly_k141_894514||full	196	172	50	36
KSW-cf_coassembly_k141_3846858||full	90	90	6	12
KSW-cf_coassembly_k141_3315841||full	494	646	514	964
KSW-cf_coassembly_k141_2640415||full	16	26	4	2
KSW-cf_coassembly_k141_3987446||full	6	14	0	0
KSW-cf_coassembly_k141_3316533||full	20	30	0	0
KSW-cf_coassembly_k141_1967829||full	216	132	13108	10702
KSW-cf_coassembly_k141_1027891||full	44	60	4	14
KSW-cf_coassembly_k141_3178356||full	44	34	0	0
KSW-cf_coassembly_k141_2377798||full	8	18	0	0
KSW-cf_coassembly_k141_1563780||full	10	42	0	0
KSW-cf_coassembly_k141_1162817||full	4	32	4	2
KSW-cf_coassembly_k141_3317411||full	12	50	2	0
KSW-cf_coassembly_k141_1162888||full	0	0	0	2
KSW-cf_coassembly_k141_3317439||full	4144	2068	630	644
KSW-cf_coassembly_k141_89735||full	2	18	2	0
KSW-cf_coassembly_k141_219126||full	6	52	2	0
KSW-cf_coassembly_k141_1564171||full	8	16	506	1218
KSW-cf_coassembly_k141_2910316||full	6	0	0	0
KSW-cf_coassembly_k141_1835673||full	2	6	0	0
KSW-cf_coassembly_k141_757814||full	8	28	4	0
KSW-cf_coassembly_k141_3717457||full	86	272	20	30
KSW-cf_coassembly_k141_896954||full	1858	838	170	200
KSW-cf_coassembly_k141_1564730||full	592	306	24	24
KSW-cf_coassembly_k141_3989797||full	10	20	2	0
KSW-cf_coassembly_k141_758312||full	690	334	22	32
KSW-cf_coassembly_k141_494169||full	1192	1258	308	418
KSW-cf_coassembly_k141_3990048||full	44	50	8	56
KSW-cf_coassembly_k141_1164486||full	394	406	2	4
KSW-cf_coassembly_k141_1164499||full	48	42	2	0
KSW-cf_coassembly_k141_3850076||full	2	4	2	0
KSW-cf_coassembly_k141_2107030||full	102	98	6	6
KSW-cf_coassembly_k141_1565397||full	2	0	450	390
KSW-cf_coassembly_k141_1030751||full	114	172	36	24
KSW-cf_coassembly_k141_2643937||full	56	120	10	6
KSW-cf_coassembly_k141_3718684||full	614	484	42	46
KSW-cf_coassembly_k141_2380341||full	14	42	52	38
KSW-cf_coassembly_k141_633173||full	18	26	0	0
KSW-cf_coassembly_k141_1302114||full	30	50	0	0
KSW-cf_coassembly_k141_898290||full	176	608	24	6
KSW-cf_coassembly_k141_3319715||full	2	16	0	4
KSW-cf_coassembly_k141_495376||full	4	6	4	0
KSW-cf_coassembly_k141_495396||full	62	338	24	24
KSW-cf_coassembly_k141_760061||full	4	32	2	0
KSW-cf_coassembly_k141_1971566||full	4	0	0	0
KSW-cf_coassembly_k141_3181047||full	212	312	44	44
KSW-cf_coassembly_k141_760485||full	14	62	4	6
KSW-cf_coassembly_k141_1303340||full	56	88	26	8
KSW-cf_coassembly_k141_1166435||full	6	20	4	0
KSW-cf_coassembly_k141_361396||full	52	114	18	8
KSW-cf_coassembly_k141_2381713||full	16	60	4	0
KSW-cf_coassembly_k141_2912984||full	2	12	0	0
KSW-cf_coassembly_k141_2645783||full	0	4	100	134
KSW-cf_coassembly_k141_2382012||full	34	62	2	6
KSW-cf_coassembly_k141_1838842||full	42	148	148	28
KSW-cf_coassembly_k141_2109287||full	2	20	4	0
