Contig	C0_1_C	C0_2_C	C63_1_C	C63_2_C	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-C63_2_V_NODE_188_length_10503_cov_9.855379||full	0	4.2709565	0	0	0	0	0	0
KSW-C63_2_V_NODE_192_length_10320_cov_39.392986||full	6.2408876	9.404566	2.7248628	5.5738535	0	0	6.0875816	2.9572911
KSW-C63_2_V_NODE_261_length_8959_cov_22.101864||full	7.189179	12.18129	3.487668	5.972829	0	0	3.7760038	2.7320626
KSW-C63_2_V_NODE_265_length_8914_cov_7.774128||full	39.645157	42.672237	22.786867	12.607688	100.940475	125.87826	5.1263847	4.305717
KSW-C63_2_V_NODE_320_length_8095_cov_170.122637||full	8.225482	7.676576	0	0	0	0	0	0
KSW-C63_2_V_NODE_323_length_8028_cov_111.034366||full	8.832782	0	11.48208	4.291022	0	0	3.338374	2.8231263
KSW-C63_2_V_NODE_340_length_7849_cov_9.278034||full	0	3.1471152	0	0	0	0	0	0
KSW-C63_2_V_NODE_354_length_7624_cov_49.391597||full	6.0472093	4.386978	4.663308	0	0	0	0	0
KSW-C63_2_V_NODE_372_length_7343_cov_75.571762||full	0	0	0	0	0	0	3.1113007	6.0842037
KSW-C63_2_V_NODE_376_length_7332_cov_7.660712||full	0	0	8.4170685	12.681292	0	0	0	0
KSW-C63_2_V_NODE_380_length_7285_cov_171.417981||full	6.1647954	0	10.991356	4.545143	0	0	0	2.6133552
KSW-C63_2_V_NODE_386_length_7224_cov_558.355838||full	11.277955	5.539659	9.153776	4.1772337	0	15.8413925	0	2.332421
KSW-C63_2_V_NODE_444_length_6725_cov_43.140630||full	0	4.502192	3.609056	0	0	0	0	0
KSW-C63_2_V_NODE_445_length_6723_cov_3.522346||full	0	4.734796	0	0	0	0	0	0
KSW-C63_2_V_NODE_454_length_6654_cov_11.639642||full	0	0	5.4790864	0	0	0	0	0
KSW-C63_2_V_NODE_457_length_6628_cov_7.483797||full	0	3.3078008	0	0	0	0	0	0
KSW-C63_2_V_NODE_466_length_6548_cov_7.819190||full	0	3.5934513	0	0	0	0	0	0
KSW-C63_2_V_NODE_469_length_6537_cov_4.446776||full	6.1472187	9.378131	0	0	0	0	0	0
KSW-C63_2_V_NODE_490_length_6374_cov_3.462257||full	0	4.757055	0	0	0	0	0	0
KSW-C63_2_V_NODE_504_length_6267_cov_4.098680||full	0	4.6688232	0	0	0	0	0	0
KSW-C63_2_V_NODE_558_length_5925_cov_11.373595||full	0	3.3717966	0	0	0	0	0	0
KSW-C63_2_V_NODE_561_length_5913_cov_10.107716||full	6.996043	8.3259325	6.7382474	0	14.514041	20.827868	0	0
