Contig	C0_1_C	C0_2_C	C63_1_C	C63_2_C	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-cf_coassembly_k141_1569148||full	8.451272	27.085299	0	0	0	0	0	0
KSW-cf_coassembly_k141_2647743||full	9.195479	14.129111	5.343255	0	0	0	0	0
KSW-cf_coassembly_k141_3323019||full	8.074501	0	0	0	0	0	0	0
KSW-cf_coassembly_k141_2786329||full	0	0	5.4488587	0	16.137089	0	0	0
KSW-cf_coassembly_k141_3589308||full	0	5.3041997	0	0	0	0	0	0
KSW-cf_coassembly_k141_1703967||full	10.782669	6.7630663	0	0	0	0	0	0
KSW-cf_coassembly_k141_3323645||full	6.957628	7.5807285	4.860196	2.9087017	0	0	0	0
KSW-cf_coassembly_k141_2384797||full	10.928407	16.359505	0	0	35.593925	20.44189	0	0
KSW-cf_coassembly_k141_224849||full	0	3.9290993	0	0	0	0	0	0
KSW-cf_coassembly_k141_364607||full	21.640686	10.426128	6.3026137	4.08279	0	0	0	0
KSW-cf_coassembly_k141_2385024||full	0	0	9.727017	3.6151552	0	0	0	0
KSW-cf_coassembly_k141_2649000||full	0	0	0	0	0	0	12.689377	12.554946
KSW-cf_coassembly_k141_2916287||full	8.504101	8.0370655	0	0	0	0	0	0
KSW-cf_coassembly_k141_2112218||full	6.1743007	7.3430767	3.1240487	0	0	0	0	0
KSW-cf_coassembly_k141_1035578||full	41.55653	27.666317	8.418971	7.0909863	0	0	0	0
KSW-cf_coassembly_k141_1704778||full	0	0	0	0	0	0	6.1564307	3.3702443
KSW-cf_coassembly_k141_3723210||full	9.274189	7.871768	0	0	0	0	0	0
KSW-cf_coassembly_k141_1440683||full	0	0	0	0	0	16.520872	0	0
KSW-cf_coassembly_k141_3052270||full	20.018013	12.395771	0	0	0	0	0	0
KSW-cf_coassembly_k141_225771||full	0	5.1224527	3.2311637	4.0388565	0	0	0	0
KSW-cf_coassembly_k141_903324||full	7.593995	11.239073	0	0	0	0	0	0
KSW-cf_coassembly_k141_2385996||full	6.3948503	0	6.6702065	0	13.6718025	0	0	0
KSW-cf_coassembly_k141_1036738||full	10.140468	10.815739	0	0	0	0	0	0
KSW-cf_coassembly_k141_904028||full	5.7742534	0	4.9353895	0	24.17161	21.035297	0	0
KSW-cf_coassembly_k141_3724909||full	11.2195215	20.143496	0	0	0	0	0	0
KSW-cf_coassembly_k141_3457988||full	6.4270134	9.18373	0	0	0	0	0	0
KSW-cf_coassembly_k141_366857||full	17.239809	0	3.4610643	0	0	0	0	0
KSW-cf_coassembly_k141_2790153||full	11.905378	6.9810534	0	0	0	0	0	0
KSW-cf_coassembly_k141_1172140||full	6.209023	7.180742	4.3376436	3.1428099	0	0	0	0
KSW-cf_coassembly_k141_1309501||full	0	0	0	0	0	25.239338	0	0
KSW-cf_coassembly_k141_2387990||full	11.281676	0	0	0	0	0	0	0
KSW-cf_coassembly_k141_228439||full	0	6.373852	0	3.0429769	0	0	0	0
KSW-cf_coassembly_k141_1443781||full	9.18866	5.83552	0	0	0	0	0	0
KSW-cf_coassembly_k141_767052||full	0	0	6.7226877	7.3487124	0	0	0	0
KSW-cf_coassembly_k141_3859477||full	4.8162103	5.677659	0	0	0	12.66382	0	0
KSW-cf_coassembly_k141_2116373||full	5.6610303	13.933485	0	0	22.504438	16.893335	0	0
KSW-cf_coassembly_k141_1573867||full	19.522945	67.78773	5.806139	5.395556	0	0	0	0
KSW-cf_coassembly_k141_3594043||full	12.225753	8.064139	0	0	0	0	0	0
KSW-cf_coassembly_k141_229367||full	8.912909	8.44161	4.2800107	0	0	0	0	0
KSW-cf_coassembly_k141_3460288||full	9.385836	5.1554375	6.4845834	0	37.01298	24.79298	0	0
KSW-cf_coassembly_k141_1709161||full	13.552267	17.440777	6.830368	3.8671703	0	0	0	0
KSW-cf_coassembly_k141_643078||full	0	8.95294	0	0	0	0	0	0
KSW-cf_coassembly_k141_3860287||full	10.079444	13.694483	5.4029098	2.8289776	0	0	0	0
KSW-cf_coassembly_k141_2389553||full	6.0675335	0	0	0	0	0	0	0
KSW-cf_coassembly_k141_3860290||full	9.46929	17.536781	0	0	19.636244	15.867716	0	0
KSW-cf_coassembly_k141_2517118||full	4.3662047	0	6.226093	0	15.865637	0	0	0
KSW-cf_coassembly_k141_2653562||full	0	12.544212	0	0	0	0	0	0
KSW-cf_coassembly_k141_3728047||full	9.664022	5.94395	0	0	0	0	0	0
KSW-cf_coassembly_k141_230233||full	7.3729625	13.642126	0	0	0	0	0	0
KSW-cf_coassembly_k141_2517907||full	0	4.807722	0	0	0	0	0	0
KSW-cf_coassembly_k141_1847334||full	5.556012	11.883576	0	0	0	0	0	0
KSW-cf_coassembly_k141_907192||full	6.3077908	0	9.996993	0	28.024242	18.677368	0	0
KSW-cf_coassembly_k141_2654079||full	0	15.720831	0	0	0	0	0	0
KSW-cf_coassembly_k141_3329441||full	0	2.6376774	0	0	0	0	0	0
KSW-cf_coassembly_k141_2921804||full	0	0	2.5161211	0	0	0	0	3.6770406
KSW-cf_coassembly_k141_3461657||full	0	5.7355204	4.2170644	4.312394	0	0	0	0
KSW-cf_coassembly_k141_2518673||full	0	8.919963	0	0	0	0	0	0
KSW-cf_coassembly_k141_3729143||full	0	9.635662	0	0	0	0	0	0
KSW-cf_coassembly_k141_2118141||full	9.016357	19.813128	0	0	9.306853	11.1551485	0	0
KSW-cf_coassembly_k141_1041651||full	0	0	11.708864	0	0	0	0	0
KSW-cf_coassembly_k141_1711166||full	0	2.9008734	0	0	0	0	0	0
KSW-cf_coassembly_k141_3462402||full	30.480532	42.012264	7.886114	5.130149	0	0	0	0
KSW-cf_coassembly_k141_102637||full	8.512813	13.197306	0	0	0	0	0	0
KSW-cf_coassembly_k141_3596736||full	12.663946	21.306824	0	0	0	0	0	0
KSW-cf_coassembly_k141_1313784||full	0	5.559372	0	0	0	0	0	0
KSW-cf_coassembly_k141_2519499||full	5.944158	7.2122493	0	0	0	0	0	0
KSW-cf_coassembly_k141_2251799||full	18.470808	22.574493	8.845114	5.597029	0	0	0	0
KSW-cf_coassembly_k141_2656263||full	6.800022	7.490645	0	0	0	0	0	0
KSW-cf_coassembly_k141_103324||full	17.562908	0	0	2.3767476	0	0	0	0
KSW-cf_coassembly_k141_3191919||full	12.737526	13.977427	6.5647206	4.007961	0	0	0	0
KSW-cf_coassembly_k141_3463675||full	8.798468	14.338665	3.121906	0	0	0	0	0
KSW-cf_coassembly_k141_3192396||full	0	15.124812	0	0	0	0	0	0
KSW-cf_coassembly_k141_2119854||full	26.124945	53.081333	6.818208	3.6966016	0	0	0	0
KSW-cf_coassembly_k141_2393523||full	0	14.463504	0	0	0	0	0	0
KSW-cf_coassembly_k141_1315208||full	8.444416	0	4.810195	3.8468652	0	0	0	0
KSW-cf_coassembly_k141_3863988||full	12.671184	23.370737	0	3.0502584	0	0	0	0
KSW-cf_coassembly_k141_3192854||full	15.147842	16.848366	0	0	0	0	0	0
KSW-cf_coassembly_k141_3332637||full	0	0	0	0	0	0	12.353464	7.139279
KSW-cf_coassembly_k141_1449394||full	14.663118	16.7949	4.6070156	0	0	0	0	0
KSW-cf_coassembly_k141_3333037||full	0	0	0	0	12.891617	0	0	0
KSW-cf_coassembly_k141_2394633||full	0	8.459259	0	0	0	0	0	0
KSW-cf_coassembly_k141_3194119||full	7.567633	8.287916	0	0	0	0	0	0
KSW-cf_coassembly_k141_1450350||full	0	11.395582	0	0	0	0	0	0
KSW-cf_coassembly_k141_2395814||full	0	0	0	1.9258226	0	0	0	0
KSW-cf_coassembly_k141_1317723||full	11.334634	5.969757	3.2557013	0	0	0	0	0
KSW-cf_coassembly_k141_1180611||full	0	0	43.19812	10.381923	0	0	2.9694881	4.815939
KSW-cf_coassembly_k141_1045928||full	0	11.906679	0	0	0	0	0	0
KSW-cf_coassembly_k141_773573||full	9.562338	0	4.470649	4.81815	0	0	0	0
KSW-cf_coassembly_k141_1451040||full	14.962107	19.9065	3.4011683	0	0	0	0	0
KSW-cf_coassembly_k141_1853452||full	0	3.292434	0	0	8.627307	0	0	0
KSW-cf_coassembly_k141_650573||full	10.218763	9.382779	3.343792	0	0	0	0	0
KSW-cf_coassembly_k141_2659867||full	0	10.097006	0	0	0	0	0	0
KSW-cf_coassembly_k141_3467001||full	7.433175	0	0	0	12.455356	14.232703	0	2.3392346
KSW-cf_coassembly_k141_1451685||full	0	0	1.985196	0	0	0	0	4.658906
KSW-cf_coassembly_k141_3601724||full	10.986649	12.662912	3.276446	2.5075653	0	11.93208	0	0
KSW-cf_coassembly_k141_510883||full	5.5684137	7.6079764	0	0	0	0	0	0
KSW-cf_coassembly_k141_2660326||full	6.564065	10.202885	0	0	0	0	0	0
KSW-cf_coassembly_k141_651122||full	12.638436	4.7540975	0	0	0	0	0	0
KSW-cf_coassembly_k141_1452018||full	15.564242	22.799454	5.3366423	3.2838938	0	0	0	0
KSW-cf_coassembly_k141_2800572||full	0	9.418825	0	0	0	0	0	0
KSW-cf_coassembly_k141_2124051||full	9.51453	8.912648	0	0	0	0	0	0
KSW-cf_coassembly_k141_1855021||full	5.7478223	14.23249	0	0	22.69019	15.041193	0	0
KSW-cf_coassembly_k141_2661385||full	14.549134	0	0	0	0	0	0	0
KSW-cf_coassembly_k141_914558||full	7.593392	14.414337	5.8685174	3.041498	0	0	0	0
KSW-cf_coassembly_k141_1717992||full	5.2460604	16.391563	0	0	0	0	0	0
KSW-cf_coassembly_k141_2398902||full	0	3.6676028	0	0	0	0	0	0
KSW-cf_coassembly_k141_3603903||full	10.515685	5.1917253	0	0	0	0	0	0
KSW-cf_coassembly_k141_3337830||full	6.1928797	15.286631	0	0	0	0	0	0
KSW-cf_coassembly_k141_3198725||full	10.809517	26.375893	0	0	0	0	0	0
KSW-cf_coassembly_k141_1990550||full	24.047997	7.57544	6.0428762	0	0	0	0	0
KSW-cf_coassembly_k141_238926||full	11.516914	14.111804	7.13406	3.2469885	0	0	0	0
KSW-cf_coassembly_k141_3604832||full	14.670693	10.101362	3.9904091	0	0	0	0	0
KSW-cf_coassembly_k141_3470816||full	8.163252	0	5.34341	4.17173	0	0	0	0
KSW-cf_coassembly_k141_654720||full	0	0	0	0	0	0	4.2317195	7.58832
KSW-cf_coassembly_k141_1991750||full	3.6202059	10.242556	0	0	0	0	0	0
KSW-cf_coassembly_k141_2528207||full	5.4474435	6.692447	0	0	0	0	0	0
KSW-cf_coassembly_k141_514809||full	5.731818	8.7039795	3.5317943	0	0	0	0	0
KSW-cf_coassembly_k141_2804735||full	0	8.723434	0	0	0	0	0	0
KSW-cf_coassembly_k141_515434||full	10.380157	14.0681095	0	0	0	0	0	0
KSW-cf_coassembly_k141_3340492||full	4.8650317	6.9218087	0	0	0	0	0	0
KSW-cf_coassembly_k141_3872513||full	7.6119857	7.5461783	0	0	0	0	0	0
KSW-cf_coassembly_k141_919392||full	0	0	0	0	0	0	6.3646026	2.6849227
KSW-cf_coassembly_k141_2260779||full	9.142446	4.5302505	7.287741	2.9289706	18.364012	11.525054	0	0
KSW-cf_coassembly_k141_2530043||full	0	0	0	0	16.360956	0	0	0
KSW-cf_coassembly_k141_1722439||full	8.585112	22.261892	0	0	0	0	0	0
KSW-cf_coassembly_k141_2933987||full	0	10.583663	0	0	0	0	0	0
KSW-cf_coassembly_k141_3740526||full	14.189816	0	14.856275	3.1112113	0	0	0	0
KSW-cf_coassembly_k141_1994618||full	7.9708934	7.0675306	0	0	0	0	0	0
KSW-cf_coassembly_k141_1861163||full	0	7.3467937	0	0	0	0	0	0
KSW-cf_coassembly_k141_2807926||full	0	0	0	0	0	0	8.36932	3.181191
KSW-cf_coassembly_k141_1458438||full	7.9318166	6.2336907	3.6767838	0	0	0	0	0
KSW-cf_coassembly_k141_1190018||full	10.651143	12.676821	0	0	0	0	0	0
KSW-cf_coassembly_k141_2935755||full	14.54302	20.721775	3.6340826	0	0	0	0	0
KSW-cf_coassembly_k141_1996238||full	9.970103	9.063567	0	0	0	0	0	0
KSW-cf_coassembly_k141_2131901||full	0	11.633455	0	0	0	0	0	0
KSW-cf_coassembly_k141_1055300||full	0	0	0	0	0	0	0	2.8239956
KSW-cf_coassembly_k141_3071102||full	14.621045	4.2099986	4.16565	0	0	0	0	0
KSW-cf_coassembly_k141_660575||full	0	5.7744107	3.2195072	0	0	0	0	0
KSW-cf_coassembly_k141_1459651||full	7.0542445	8.273352	3.730206	0	0	0	0	0
KSW-cf_coassembly_k141_1862654||full	5.3472652	9.917822	0	0	0	0	0	0
KSW-cf_coassembly_k141_2936688||full	0	10.411516	0	0	0	0	0	0
KSW-cf_coassembly_k141_2810111||full	27.700062	3.223673	0	0	0	0	0	0
KSW-cf_coassembly_k141_1328475||full	13.39728	48.036575	0	0	0	0	0	0
KSW-cf_coassembly_k141_1997342||full	14.098701	4.38981	0	0	0	0	0	0
KSW-cf_coassembly_k141_4018406||full	11.024005	12.343049	3.6932662	0	0	0	0	0
KSW-cf_coassembly_k141_3612087||full	0	0	0	0	0	0	0	1.8674961
KSW-cf_coassembly_k141_387934||full	8.704726	3.8140798	3.6151583	0	0	0	0	0
KSW-cf_coassembly_k141_3478004||full	24.696852	26.842913	15.819076	6.029248	0	13.688131	0	0
KSW-cf_coassembly_k141_117898||full	0	0	0	0	0	0	5.5965953	3.8493536
KSW-cf_coassembly_k141_388597||full	9.52744	16.523718	0	0	37.887737	22.995731	0	0
KSW-cf_coassembly_k141_3206899||full	0	7.7910914	0	0	0	0	0	0
KSW-cf_coassembly_k141_1727353||full	0	0	4.8874035	0	0	0	0	0
KSW-cf_coassembly_k141_2812537||full	0	15.000293	0	0	0	0	0	0
KSW-cf_coassembly_k141_2266530||full	11.044337	0	0	0	0	0	0	0
KSW-cf_coassembly_k141_390303||full	0	5.396304	0	0	0	0	0	0
KSW-cf_coassembly_k141_786170||full	18.139648	25.454002	5.53996	3.9644175	0	0	0	0
KSW-cf_coassembly_k141_786203||full	0	0	0	0	11.206663	0	0	0
KSW-cf_coassembly_k141_2136308||full	0	8.940197	0	0	0	0	0	0
KSW-cf_coassembly_k141_390737||full	8.425172	10.368867	0	0	0	0	0	0
KSW-cf_coassembly_k141_3746289||full	0	7.361068	0	0	0	0	0	0
KSW-cf_coassembly_k141_522354||full	0	0	0	0	0	0	0	8.294346
KSW-cf_coassembly_k141_1332022||full	8.364162	25.478722	0	0	0	0	0	0
KSW-cf_coassembly_k141_3746640||full	7.76141	4.879813	3.0241086	0	0	0	0	0
KSW-cf_coassembly_k141_1729297||full	18.248789	22.566208	7.0490584	3.9279299	0	0	0	0
KSW-cf_coassembly_k141_3880322||full	0	0	5.540216	6.1172204	0	0	0	0
KSW-cf_coassembly_k141_1332931||full	0	17.611134	0	0	0	0	0	0
KSW-cf_coassembly_k141_1729653||full	11.012166	8.854442	5.6987147	0	25.737934	31.431902	0	0
KSW-cf_coassembly_k141_1060457||full	0	0	0	0	12.666982	0	0	0
KSW-cf_coassembly_k141_523244||full	0	0	2.746159	4.4491963	0	0	5.800267	4.157577
KSW-cf_coassembly_k141_3349629||full	0	14.036561	0	0	0	0	0	0
KSW-cf_coassembly_k141_1595054||full	4.3141694	0	0	0	0	0	0	0
KSW-cf_coassembly_k141_1061089||full	12.906503	5.609577	3.8131073	0	0	0	0	0
KSW-cf_coassembly_k141_1868415||full	19.609568	0	0	0	0	0	0	0
KSW-cf_coassembly_k141_1061439||full	0	0	3.4758995	0	9.56957	11.6792	0	0
KSW-cf_coassembly_k141_788516||full	10.016631	14.672139	5.5292435	3.6576087	0	0	0	0
KSW-cf_coassembly_k141_121905||full	5.718849	15.370498	0	0	0	0	0	0
KSW-cf_coassembly_k141_3482710||full	15.676136	23.16733	6.123971	3.0041616	0	0	0	0
KSW-cf_coassembly_k141_2003443||full	6.8409057	23.271091	0	0	0	0	0	0
KSW-cf_coassembly_k141_3882127||full	8.932361	23.737213	0	0	0	0	0	0
KSW-cf_coassembly_k141_789580||full	0	0	0	5.398324	21.97283	0	0	4.6169467
KSW-cf_coassembly_k141_252006||full	8.962494	10.751906	0	0	0	0	0	0
KSW-cf_coassembly_k141_3617813||full	5.2811995	6.6551843	0	0	0	0	0	0
KSW-cf_coassembly_k141_669170||full	16.85513	25.785383	5.8256407	3.0585623	0	0	0	0
KSW-cf_coassembly_k141_4026354||full	0	5.8164377	0	0	0	0	0	0
KSW-cf_coassembly_k141_2944205||full	0	0	62.362644	0	0	0	0	0
KSW-cf_coassembly_k141_1467586||full	18.924604	30.799013	4.704675	4.170694	0	0	0	0
KSW-cf_coassembly_k141_2140935||full	0	0	0	7.0253654	0	0	18.297829	12.45024
KSW-cf_coassembly_k141_2414269||full	7.0393734	10.213497	3.2212577	2.8195887	0	0	0	0
KSW-cf_coassembly_k141_3750296||full	16.766031	15.846922	7.0321717	3.783139	0	0	0	0
KSW-cf_coassembly_k141_1199855||full	0	0	0	0	0	0	5.069637	2.3419547
KSW-cf_coassembly_k141_527226||full	7.7626963	8.231208	0	0	0	0	0	0
KSW-cf_coassembly_k141_2818687||full	16.02521	14.851848	0	0	0	0	0	0
KSW-cf_coassembly_k141_670580||full	10.871404	3.187025	0	0	0	0	0	0
KSW-cf_coassembly_k141_125812||full	10.900086	7.8279924	0	0	0	0	0	0
KSW-cf_coassembly_k141_2945820||full	0	11.025851	0	0	0	0	0	0
KSW-cf_coassembly_k141_1469602||full	0	6.9964547	0	0	0	0	0	0
KSW-cf_coassembly_k141_3486405||full	19.538233	0	0	0	0	0	0	0
KSW-cf_coassembly_k141_1735107||full	10.675546	16.471571	0	0	0	0	0	0
KSW-cf_coassembly_k141_1872905||full	0	5.4644103	0	0	0	0	0	0
KSW-cf_coassembly_k141_397434||full	0	0	0	0	9.186135	0	0	0
KSW-cf_coassembly_k141_933823||full	0	0	0	0	0	0	0	3.839392
KSW-cf_coassembly_k141_2680931||full	11.372867	16.314991	0	0	0	0	0	0
KSW-cf_coassembly_k141_3216364||full	4.800585	6.92968	0	0	0	0	0	0
KSW-cf_coassembly_k141_529964||full	7.4221253	13.888379	0	0	0	0	0	0
KSW-cf_coassembly_k141_3752805||full	8.104686	10.615917	4.8744645	3.3887093	0	0	0	0
KSW-cf_coassembly_k141_1203283||full	6.445487	7.5568333	2.4444788	0	0	0	0	0
KSW-cf_coassembly_k141_3753156||full	0	3.271809	0	0	0	0	0	0
KSW-cf_coassembly_k141_1340470||full	24.708488	21.566654	4.8013806	3.3949518	0	0	0	0
KSW-cf_coassembly_k141_1204133||full	6.6749473	6.752155	0	0	0	0	0	0
KSW-cf_coassembly_k141_2822528||full	4.716923	5.967487	0	0	0	0	0	0
KSW-cf_coassembly_k141_1068315||full	4.974451	8.861464	0	0	0	0	0	0
KSW-cf_coassembly_k141_2145958||full	0	7.658239	0	0	0	0	0	0
KSW-cf_coassembly_k141_1738564||full	10.481225	30.10172	0	0	0	0	0	0
KSW-cf_coassembly_k141_3490834||full	0	3.3946857	0	0	0	0	0	0
KSW-cf_coassembly_k141_2547573||full	6.6737494	3.6605475	0	0	0	0	0	0
KSW-cf_coassembly_k141_1343440||full	9.838681	10.063665	3.006519	0	0	0	0	0
KSW-cf_coassembly_k141_3220151||full	6.930715	11.706801	0	0	0	0	0	0
KSW-cf_coassembly_k141_1070684||full	0	0	3.2784648	0	12.45864	0	0	0
KSW-cf_coassembly_k141_2147523||full	8.036901	12.1062	5.329988	2.7141116	0	0	0	0
KSW-cf_coassembly_k141_2950932||full	5.284131	4.3604918	0	0	0	0	0	0
KSW-cf_coassembly_k141_533619||full	5.7411222	10.918358	0	0	0	0	0	0
KSW-cf_coassembly_k141_1071281||full	0	0	2.3952348	2.7716048	0	0	0	0
KSW-cf_coassembly_k141_3756767||full	5.238423	16.943815	0	0	0	0	0	0
KSW-cf_coassembly_k141_1878575||full	7.0696735	12.520844	0	0	0	0	0	0
KSW-cf_coassembly_k141_3625647||full	6.5592217	9.347435	3.395727	0	0	0	0	0
KSW-cf_coassembly_k141_2549332||full	3.5451014	0	0	0	12.44935	13.192621	0	0
KSW-cf_coassembly_k141_2013894||full	25.405333	30.883257	4.7284775	4.756062	0	0	0	0
KSW-cf_coassembly_k141_2014785||full	0	25.527319	3.0492215	0	0	0	0	0
KSW-cf_coassembly_k141_2014945||full	0	5.970789	0	0	0	0	0	0
KSW-cf_coassembly_k141_2282111||full	8.272336	31.94274	0	0	0	0	0	0
KSW-cf_coassembly_k141_799877||full	15.2891445	22.836016	4.2435017	0	0	0	0	0
KSW-cf_coassembly_k141_535816||full	0	0	4.2882495	4.2594447	0	0	0	0
KSW-cf_coassembly_k141_2953953||full	0	3.4564567	0	0	14.220909	0	0	0
KSW-cf_coassembly_k141_2282581||full	14.16114	5.7461457	3.5609903	2.308679	0	0	0	0
KSW-cf_coassembly_k141_1073682||full	22.599531	0	0	0	0	0	0	0
KSW-cf_coassembly_k141_939896||full	4.025335	4.820647	0	0	13.700842	9.709095	0	2.2545683
KSW-cf_coassembly_k141_3088754||full	6.749773	0	0	0	0	0	0	0
KSW-cf_coassembly_k141_134273||full	9.46763	12.005823	5.8345	3.110385	0	0	0	0
KSW-cf_coassembly_k141_3760973||full	6.1808105	7.709415	3.1892712	0	0	0	0	0
KSW-cf_coassembly_k141_2552846||full	0	6.1913476	0	0	0	0	0	0
KSW-cf_coassembly_k141_3761548||full	0	9.333724	0	0	0	0	0	0
KSW-cf_coassembly_k141_2553306||full	18.12635	31.032827	4.443756	3.8050919	0	0	0	0
KSW-cf_coassembly_k141_264640||full	0	21.044426	0	0	0	0	0	0
KSW-cf_coassembly_k141_806064||full	32.22691	29.991133	15.749865	7.389027	0	0	0	0
KSW-cf_coassembly_k141_806071||full	7.7142973	5.6227026	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_3698909||full	0	8.477179	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_3699741||full	7.220973	0	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_2092228||full	6.499654	4.2797933	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_4182868||full	0	0	0	0	10.003789	0	0	0
KSW-cf_2nd_assembly_k141_324448||full	0	31.502502	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_2736576||full	0	10.804745	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_3058099||full	45.401085	12.699019	16.411438	6.4241176	0	0	0	0
KSW-cf_2nd_assembly_k141_4129||full	15.444088	12.600925	6.857503	4.003589	0	0	0	0
KSW-cf_2nd_assembly_k141_1129702||full	0	0	0	0	7.9284797	0	0	0
KSW-cf_2nd_assembly_k141_2256934||full	0	0	15.235019	114.87212	0	0	129.889	184.70984
KSW-cf_2nd_assembly_k141_1453384||full	0	0	0	0	0	0	0	2.1496441
KSW-cf_2nd_assembly_k141_4668807||full	0	7.673017	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_1293019||full	25.309986	8.937673	7.5169935	3.1941211	0	0	0	0
KSW-cf_2nd_assembly_k141_2740327||full	10.794035	14.927057	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_490773||full	0	0	17.699175	31.656876	0	0	25.410177	14.008779
KSW-cf_2nd_assembly_k141_2742403||full	13.720297	0	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_4029184||full	0	6.3872285	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_2261297||full	0	0	56.036285	73.049965	0	0	62.72709	37.94138
KSW-cf_2nd_assembly_k141_1457575||full	0	5.3830557	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_1137700||full	0	0	3.3857343	0	0	0	0	0
KSW-cf_2nd_assembly_k141_4192633||full	0	0	9.779969	262.08875	0	0	332.84567	449.242
KSW-cf_2nd_assembly_k141_1942253||full	14.810018	18.743866	7.564394	4.5177298	0	0	0	0
KSW-cf_2nd_assembly_k141_817497||full	0	0	0	0	0	0	5.757696	6.660268
KSW-cf_2nd_assembly_k141_13657||full	47.7959	34.03382	5.371419	0	215.93698	346.62433	0	0
KSW-cf_2nd_assembly_k141_496468||full	0	0	5.0841117	10.037039	0	0	7.863472	0
KSW-cf_2nd_assembly_k141_1623644||full	0	0	6.166284	10.50453	0	0	17.449957	20.790298
KSW-cf_2nd_assembly_k141_2589223||full	7.475712	19.656645	0	0	9.423972	0	0	0
KSW-cf_2nd_assembly_k141_3232662||full	9.724541	6.2778587	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_1305545||full	0	0	0	0	0	0	0	2.4813008
KSW-cf_2nd_assembly_k141_3718314||full	0	6.8847237	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_2433279||full	0	7.114654	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_3239480||full	7.7463374	32.468914	4.551308	3.3491445	0	0	0	0
KSW-cf_2nd_assembly_k141_4518257||full	0	4.407295	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_662583||full	11.700909	16.211954	0	0	43.070892	26.34105	0	0
KSW-cf_2nd_assembly_k141_1794718||full	0	5.399685	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_662782||full	0	14.52329	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_3725254||full	8.940691	0	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_189765||full	0	8.080694	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_833271||full	0	0	17.32203	16.527618	127.91012	130.6504	17.81465	14.058088
KSW-cf_2nd_assembly_k141_192388||full	0	5.742539	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_31833||full	9.279045	0	2.3207154	0	0	0	0	0
KSW-cf_2nd_assembly_k141_33221||full	0	0	3.9928646	37.85109	0	0	30.485832	86.005325
KSW-cf_2nd_assembly_k141_2444883||full	13.952253	29.202682	3.2970724	0	0	0	0	0
KSW-cf_2nd_assembly_k141_4529195||full	12.776078	40.32402	0	0	0	14.199947	0	0
KSW-cf_2nd_assembly_k141_4058022||full	4.453755	6.0670977	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_39447||full	4.3102717	3.7262323	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_847361||full	0	4.199197	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_2133494||full	15.781985	15.352757	6.7424226	5.8278556	0	0	0	0
KSW-cf_2nd_assembly_k141_2618452||full	11.8584385	12.115559	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_4709566||full	0	9.078713	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_1654908||full	0	5.33873	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_3907189||full	4.2283854	0	5.2994285	0	11.588326	0	0	0
KSW-cf_2nd_assembly_k141_1496245||full	11.920627	0	6.1874804	6.87111	0	0	0	0
KSW-cf_2nd_assembly_k141_4070270||full	0	6.8694997	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_3106331||full	14.925811	14.416674	7.681732	4.5141077	0	0	0	0
KSW-cf_2nd_assembly_k141_3424085||full	7.801114	0	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_376096||full	8.339483	9.336473	0	0	22.850578	44.176666	0	0
KSW-cf_2nd_assembly_k141_537542||full	6.0092697	5.924896	4.694234	0	0	0	0	0
KSW-cf_2nd_assembly_k141_1020290||full	0	9.510566	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_2145444||full	16.101097	4.8345876	10.11224	3.0275843	0	0	0	0
KSW-cf_2nd_assembly_k141_2308271||full	0	4.634459	0	0	0	0	0	0
KSW-cf_2nd_assembly_k141_4237487||full	21.857729	28.3321	7.023166	0	64.924385	50.52407	2.8778732	2.6004002
KSW-cf_2nd_assembly_k141_222678||full	0	0	0	8.186974	0	0	0	0
KSW-cf_2nd_assembly_k141_4554503||full	0	6.257014	0	0	0	0	0	0
