OUT	C0_1	C0_2	C63_1	C63_2	T0_1	T0_2	T63_1	T63_2
Prokaryotic_ASV_231	0	1	17	20	2	0	15	11
Prokaryotic_ASV_232	21	13	0	0	16	10	0	0
Prokaryotic_ASV_233	0	0	38	23	3	0	3	1
Prokaryotic_ASV_234	0	0	10	15	0	0	25	12
Prokaryotic_ASV_235	7	12	10	4	16	7	1	0
Prokaryotic_ASV_236	7	8	24	6	19	12	3	1
Prokaryotic_ASV_237	4	2	25	18	4	7	6	1
Prokaryotic_ASV_238	0	2	3	18	0	0	25	28
Prokaryotic_ASV_239	19	22	4	3	7	10	0	0
Prokaryotic_ASV_240	11	14	4	3	13	11	2	1
Prokaryotic_ASV_241	0	0	0	0	11	39	4	1
Prokaryotic_ASV_242	16	16	7	0	5	7	1	0
Prokaryotic_ASV_243	8	18	0	0	14	15	0	0
Prokaryotic_ASV_244	11	5	3	2	20	11	3	2
Prokaryotic_ASV_245	4	7	1	7	14	15	3	0
Prokaryotic_ASV_246	3	11	3	0	15	27	0	1
Prokaryotic_ASV_247	8	9	0	9	10	6	5	1
Prokaryotic_ASV_248	5	4	6	2	7	13	0	4
Prokaryotic_ASV_249	0	1	10	9	1	0	22	26
Prokaryotic_ASV_250	0	0	40	19	1	0	4	0
Prokaryotic_ASV_251	0	0	1	5	0	0	37	23
Prokaryotic_ASV_252	16	16	0	2	13	16	1	0
Prokaryotic_ASV_253	0	0	0	0	0	0	47	32
Prokaryotic_ASV_254	0	0	1	4	0	0	35	35
Prokaryotic_ASV_255	7	12	30	0	6	7	0	0
Prokaryotic_ASV_256	9	10	5	18	7	6	7	0
Prokaryotic_ASV_257	0	0	34	13	0	0	11	5
Prokaryotic_ASV_258	4	8	12	2	15	10	5	3
Prokaryotic_ASV_259	0	0	4	0	0	0	49	29
Prokaryotic_ASV_260	12	16	11	1	5	21	0	2
Prokaryotic_ASV_261	6	1	17	6	4	5	0	0
Prokaryotic_ASV_262	2	0	9	0	32	2	0	0
Prokaryotic_ASV_263	0	0	1	1	26	32	1	3
Prokaryotic_ASV_264	0	0	1	1	0	0	42	13
Prokaryotic_ASV_265	13	9	0	0	12	13	0	0
Prokaryotic_ASV_266	15	14	4	0	8	13	0	0
Prokaryotic_ASV_267	4	6	3	3	10	16	0	0
Prokaryotic_ASV_268	0	1	19	17	0	0	8	7
Prokaryotic_ASV_269	0	0	13	13	0	0	15	9
Prokaryotic_ASV_270	2	0	15	12	0	5	4	18
Prokaryotic_ASV_271	0	1	19	36	0	0	4	9
Prokaryotic_ASV_272	0	0	3	41	0	0	2	3
