vMAGs	profile	Kingdom	Phylum	Class	Order	Family
KSW-V-k141_977641||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_583499||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S6C18901	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1077921||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S1C3235	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-V-T0_1-NODE_456_length_5848_cov_9.292595||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_5360||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_744619	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-T63_2-NODE_1337_length_6039_cov_178.536096||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_203_length_5778_cov_3.659619||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_234704	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_626248||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C63_1-NODE_495_length_5823_cov_455.965153||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C16197	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-V-k141_770326	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_225194||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-T0_1-NODE_437_length_5971_cov_18.271974||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-T0_2-NODE_267_length_5755_cov_29.801930	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_836448||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S6C1138	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C63_1-NODE_500_length_5804_cov_334.303183||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S7C1349	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_78517	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-C63_1-NODE_502_length_5796_cov_7.470650||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S2C1744	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_562269||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-S5C19900	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1035418||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_14298||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_522613	Classified	Viruses	Others	Arfiviricetes	Cirlivirales	Circoviridae
KSW-V-k141_668490||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_192_length_5868_cov_48.797351||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1071821||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C15397	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C63_1-NODE_515_length_5691_cov_4.588361	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-V-k141_1075261||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_223605||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_386372||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_537739||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_1-NODE_248_length_5716_cov_22.275040||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S2C4854	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_597131	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_377223||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-T63_2-NODE_1494_length_5706_cov_113.325960||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_929357||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_411689||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_904404	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_221_length_5632_cov_8.300520	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_692129||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C13235	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_221374||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-T0_2-NODE_274_length_5677_cov_4.926539||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_748622||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1071899||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C20019	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_393481	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C13264	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_780025	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-T63_2-NODE_821_length_7929_cov_137.071628||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_299564	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_669798||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_241931	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S2C11900	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S2C10856	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_631371||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_499569	Classified	Viruses	Others	Arfiviricetes	Baphyvirales	Bacilladnaviridae
KSW-V-k141_749456||full	Classified	Viruses	Others	Quintoviricetes	Piccovirales	Parvoviridae
KSW-V-C0_2-NODE_229_length_5564_cov_9.884371	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_1-NODE_269_length_5560_cov_10.861580	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-S3C17502	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S6C9883	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_996202||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C63_2-NODE_632_length_5537_cov_19.794053	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1071388||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_109157||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_983408||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1034314||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_847859||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C15441	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C17638	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_608612	Classified	Viruses	Others	Arfiviricetes	Cirlivirales	Circoviridae
KSW-V-k141_1013224||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_652782||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S2C17439	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C19129	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1023131	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_11920	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_801963	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_241_length_5468_cov_25.698319||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_174479	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_655945||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C9520	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_905849||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C63_1-NODE_547_length_5450_cov_7.957183	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C12710	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_769305	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-T63_1-NODE_1256_length_5436_cov_7.837948	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_181580	Classified	Viruses	Others	Faserviricetes	Tubulavirales	Inoviridae
KSW-V-S2C16250	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_942068||full	Classified	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae
KSW-V-k141_688235	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_143301||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_49187	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-T0_1-NODE_551_length_5471_cov_7.087703||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_670507	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C20942	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_241865||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-T0_2-NODE_305_length_5406_cov_3.064287||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_679858||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1017034||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1074625||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_761451||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_244143||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_603385||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_383769||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_1-NODE_282_length_5428_cov_3.879769||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_956809	Classified	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae
KSW-V-C63_2-NODE_666_length_5370_cov_32.618250	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S6C11598	Classified	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae
KSW-V-C0_1-NODE_291_length_5364_cov_4.496139	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_753687||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_800776||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_1-NODE_278_length_5472_cov_517.713679||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_111880||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-S5C19605	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_473751	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-V-S6C20520	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_650929	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-V-C63_2-NODE_681_length_5333_cov_64.917961||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_712687	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1071963	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S1C6005	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_255005	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_111042	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_906596||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S7C2342	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-V-k141_305974||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_9883||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-S8C13184	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_261_length_5309_cov_1290.649981	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S1C14512	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_88281	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-V-k141_669770||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S6C5951	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_858465||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S3C12792	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-V-k141_283924	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-C0_1-NODE_294_length_5336_cov_9.533800||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_438215||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S4C253	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_40228	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_732802||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_91810	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_121385||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C8139	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-S6C11683	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_264_length_5278_cov_5.114494||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_176614||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_694159||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_687100	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S4C2231	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S6C7027	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_563011||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_477540||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_803034	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_755442||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_742758||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C20809	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C2309	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-C0_1-NODE_321_length_5208_cov_8.298855	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_834021	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_528467	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C14659	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S7C8720	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_261857	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C13782	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_318041	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_902599||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C2955	Classified	Viruses	Nucleocytoviricota	Megaviricetes	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_985501	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_313476	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C7742	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_374888	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C3305	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S6C14454	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_37700||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_281_length_5155_cov_12.163922	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_263085||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_282_length_5153_cov_13.165163||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_569557||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_283_length_5146_cov_11.441564	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_284_length_5145_cov_11.619450	Classified	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae
KSW-V-C63_2-NODE_731_length_5143_cov_7.888365	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_815649||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C1263	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1078217	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1076503	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C1557	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_358374||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C1694	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S6C7935	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_254135||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_532881||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_47080	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_399483||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_767523||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1071720||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_259107	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C63_1-NODE_616_length_5104_cov_7.003763	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S7C3596	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_73220	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-V-k141_554756	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_890128	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_967863||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_1-NODE_347_length_5086_cov_10.952892	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_291519||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1072978	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-C0_2-NODE_292_length_5079_cov_31.475916	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C63_1-NODE_564_length_5375_cov_23.715414||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-V-k141_908562||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_918939	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-C0_1-NODE_350_length_5073_cov_79.168792	Classified	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae
KSW-V-k141_594465	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C1538	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-S5C15541	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_272_length_5240_cov_17.742334||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S8C12086	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_321409	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-C0_2-NODE_297_length_5058_cov_95.484509	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_223624||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1035828	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_900660||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_940594||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1076527	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_945785	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-T0_2-NODE_356_length_5045_cov_17.456914	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_348005	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_299_length_5043_cov_7.937851||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S1C2432	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_646791	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C8561	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_800773||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_530616	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_115574	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-C0_2-NODE_302_length_5026_cov_4.666063||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_564701	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C7617	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S8C20775	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_713943||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C11316	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-C0_2-NODE_306_length_5010_cov_6.635923||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_193291	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C19912	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
