vMAGs	Kingdom	Phylum	Class	Order	Family
KSW-V-S2C79_1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S3C13992	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_697978||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_645211||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S7C3069	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S3C60	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S3C18410	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S4C13948	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_52407	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S8C15872	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_974208||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S7C19385	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-V-k141_698534||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_141488||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S4C41	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S3C18185	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_283683||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S5C9092	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-k141_868215	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S7C19439	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S8C9567	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S5C198	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S4C12559	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_634274||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_54226||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_399387||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-T0_1-NODE_20_length_27877_cov_6.379232||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-C72_1-NODE_13_length_33338_cov_15.601238||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S6C13810	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C16520	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S5C17344	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C20491	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_491295||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S7C13653	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S7C13810	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S3C4149	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C15218	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S2C14865	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_474118||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S5C15218	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-C0_2-NODE_33_length_13489_cov_10.670091	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_397326	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C519	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S2C13810	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C20466	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_985130	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_738316||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S3C20640	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S5C15786	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C13580	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S1C9318	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C10021	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S4C3095	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S2C20760	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C20760	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_47_length_11054_cov_123.581780	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_79808||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S3C13810	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_150458||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S6C18486	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C17344	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C2045	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S8C3095	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-k141_218253||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_79488||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S3C8363	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S5C20097	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C9906	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_776997||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C14254	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C13548	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S6C17992	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-T0_1-NODE_197_length_9114_cov_4.918203||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C72_2-NODE_253_length_9053_cov_226.475772	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S5C19402	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_729643||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_312324	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_366580||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_319266||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S1C20283	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S4C15101	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_22479||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1008922	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-C0_2-NODE_73_length_8661_cov_4.831048	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S4C19402	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C18209	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_401984||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_142582||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C20471	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C17905	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C2440	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_78378||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C10746	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C10257	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_870683	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-V-S5C21011	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-T0_2-NODE_135_length_8212_cov_407.977443	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_761515||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C20699	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C15577	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_591379||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C8718	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_80_length_8359_cov_45.037211||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C5886	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_1-NODE_126_length_7958_cov_4.229280	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_976457	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C5380	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C72_1-NODE_258_length_7864_cov_13.649763||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_362741||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C19453	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_1-NODE_135_length_7789_cov_7.799845	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_906127||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C11799	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_606319	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-C0_2-NODE_103_length_7657_cov_4.429755||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_366076	Viruses	Others	Herviviricetes	Herpesvirales	Others
KSW-V-k141_73458	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S6C13424	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C2028	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
