vMAGs	Kingdom	Phylum	Class	Order	Family
KSW-V-S2C20791	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S3C3331	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C18975	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_82229||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_194634	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_423091||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_924612||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C5409	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_949168	Viruses	Others	Arfiviricetes	Cirlivirales	Others
KSW-V-k141_230200||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C21147	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_688814||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_377960	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_50508	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_997491||full	Viruses	Others	Faserviricetes	Tubulavirales	Others
KSW-V-k141_803511||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_772760	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-C72_2-NODE_550_length_5978_cov_10.570657	Viruses	Others	Arfiviricetes	Cirlivirales	Others
KSW-V-S2C1213	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_873854||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C13548	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_505976	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C16676	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S8C15218	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_109328||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1037253	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_852764||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_710788||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_1072389	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-k141_629841||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_464494||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1030393	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S6C5566	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S2C12754	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S6C10260	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_317128||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S5C20481	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_626202	Viruses	Others	Faserviricetes	Tubulavirales	Others
KSW-V-k141_599733||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C72_1-NODE_496_length_5821_cov_23.655741||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_626248||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C72_1-NODE_495_length_5823_cov_455.965153||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C16197	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-k141_770326	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-C72_1-NODE_500_length_5804_cov_334.303183||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_78517	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S2C1744	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1035418||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_14298||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_522613	Viruses	Others	Arfiviricetes	Cirlivirales	Others
KSW-V-k141_668490||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C72_1-NODE_515_length_5691_cov_4.588361	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-k141_1075261||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_386372||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C4854	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_377223||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-T72_2-NODE_1494_length_5706_cov_113.325960||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_929357||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_411689||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_904404	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_221_length_5632_cov_8.300520	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_692129||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C13235	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_1071899||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C20019	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_393481	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C13264	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_780025	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_669798||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C11900	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_631371||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_499569	Viruses	Others	Arfiviricetes	Baphyvirales	Others
KSW-V-k141_749456||full	Viruses	Others	Quintoviricetes	Piccovirales	Others
KSW-V-k141_996202||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_109157||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1034314||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_847859||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C15441	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C17638	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_608612	Viruses	Others	Arfiviricetes	Cirlivirales	Others
KSW-V-k141_1013224||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C17439	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1023131	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_11920	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_801963	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_655945||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C12710	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_769305	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_181580	Viruses	Others	Faserviricetes	Tubulavirales	Others
KSW-V-k141_143301||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_49187	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_670507	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_679858||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_1017034||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_603385||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_383769||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_1-NODE_282_length_5428_cov_3.879769||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_800776||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_1-NODE_278_length_5472_cov_517.713679||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S5C19605	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_473751	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S6C20520	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_255005	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_906596||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S7C2342	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
