group	abundance
C63	0.583848935
C63	0.539137147
C63	0.395885757
C63	0.292988142
C63	0.778575674
C63	0.597598907
C63	0.829199079
C63	0.314669018
C63	0.809860183
C63	0.864803686
C63	0.445014252
C63	0.670417449
C63	0.235075888
C63	0.242798294
C63	0.381444586
C63	0.327550145
C63	0.945951718
C63	0.241906054
C63	0.303203879
C63	0.240846927
C63	0.463821153
C63	0.51891641
C63	0.290117988
C63	1.498406474
C63	1.586472123
C63	0.491823635
C63	1.301936334
C63	0.428418808
C63	0.252125695
C63	0.346075054
C63	0.271549054
C63	1.296909927
C63	1.107169236
C63	0.598416831
C63	0.981816569
C63	0.502710575
C63	0.67101658
C63	1.252802999
C63	0.239726405
C63	0.652503814
C63	0.672296479
C63	0.284283026
C63	1.818566068
C63	0.547018178
C63	0.462687935
C63	0.313948864
C63	4.325807154
C63	1.175531585
C63	0.867731249
C63	0.999111655
C63	0.176064399
C63	2.311083323
C63	0.777484604
C63	0.87236208
C63	0.413118765
C63	0.41741117
C63	1.557626851
C63	0.722256301
C63	0.575582458
C63	3.401489562
C63	0.858220787
C63	1.997044625
C63	0.452711387
C63	4.346068692
C63	1.695664462
C63	0.881050064
C63	0.644865524
C63	0.31883046
C63	1.973187865
C63	0.591703863
C63	0.481626742
C63	0.280861343
C63	0.556440488
C63	1.275715694
C63	0.342781615
C63	0.379109597
C63	3.02825127
C63	1.04889249
C63	1.639541569
C63	0.281365794
C63	4.435229806
C63	1.463208817
C63	0.288612633
C63	0.948734889
T0	0.419183488
T0	0.382723377
T0	0.382444819
T0	0.408152606
T0	0.453035513
T0	0.402852652
T0	0.434879393
T0	0.487413535
T0	0.349563737
T0	0.570275673
T0	0.581643588
T0	0.423531104
T0	1.185349215
T0	2.401535031
T0	2.169977776
T0	1.060705016
T0	2.02295605
T0	0.542223967
T0	0.862535282
T0	0.460302331
T0	0.652450092
T0	0.605357331
T0	1.665255063
T0	1.512112341
T0	0.937328908
T0	1.214090595
T0	1.417431102
T0	0.766652684
T0	1.07563684
T0	0.8818874
T0	1.276184273
T0	2.202470934
T0	0.851813035
T0	0.610313909
T0	1.129612289
T0	1.421172708
T0	2.353619987
T0	0.984311958
T0	0.846681194
T0	0.543387431
T0	4.429576751
T0	1.825899403
T0	1.284458573
T0	1.360252129
T0	0.498887754
T0	0.301310112
