group	abundance
C0	1.411010459
C0	1.307609154
C0	1.417649809
C0	1.410033827
C0	1.218351272
C0	1.384622403
C0	1.094311986
C0	1.216943556
C0	1.170660936
C0	1.053362928
C0	1.371688054
C0	1.235054226
C0	0.742611517
C0	1.305099943
C0	1.651309402
C0	0.757493787
C0	1.35346717
C0	1.325484732
C0	0.843611359
C0	1.00863006
C0	0.714781845
C0	1.248499131
C0	1.283269922
C0	0.862634428
C0	1.354839015
C0	1.161850939
C0	0.736765026
C0	1.247319861
C0	0.924781278
C0	1.814832301
C0	1.918840578
C0	1.090240695
C0	0.905463677
C0	0.76405043
C0	0.891400737
C0	1.704162258
C0	1.414453654
C0	0.931566055
C0	1.704234673
C0	1.221000692
C0	1.517759719
C0	0.80247081
C0	1.690520129
C0	1.235748896
C0	1.268034319
C0	1.812144577
C0	1.129783313
C0	1.265206555
C0	0.670066837
C0	0.752024265
C0	1.470620398
C0	0.779080009
C0	1.333596844
C0	0.913965458
C0	1.35415448
C0	1.191338765
C0	1.29403423
C0	0.71827244
C0	1.607500756
C0	1.390931806
C0	0.993632038
C0	1.404224799
C0	0.708344794
C0	1.232872154
C0	1.390795687
C0	1.286414026
C0	1.334397531
C0	1.146515006
C0	1.127306472
C0	1.264165727
C0	1.070900535
C0	0.910591784
C0	1.004339885
C0	1.185066153
C0	1.317737993
C0	0.63266712
C0	1.372286408
C0	1.305153398
C0	0.589194848
C0	1.586956242
C0	1.13292999
C0	1.342117581
C0	1.612786441
C0	1.420352377
C0	0.851006673
C0	0.681254565
C0	1.32557834
C0	1.284005684
C0	1.151208638
C0	1.707970326
C0	1.737810754
C0	1.432748434
C0	0.874546911
C0	0.911083746
C0	0.849441626
C0	1.580790529
C0	1.432836771
C0	1.286815299
C0	0.891276005
C0	0.86655258
C0	1.35204831
C0	1.342999278
C0	1.309504225
C0	1.401663468
C0	1.483476192
C0	0.867321677
C0	0.668771736
C0	0.848258389
C0	1.113372314
C0	0.921106631
C0	1.023566068
C0	0.913960974
C0	0.919634188
C0	0.755996136
C0	0.715924629
C0	1.197369862
C0	1.049456083
C0	0.786634033
C0	1.156000212
C0	1.339938214
C0	1.117634724
C0	0.885851876
C0	0.878085294
C0	0.824624238
C0	0.941485876
C0	0.663444088
C0	1.098922
C0	0.73697443
C0	0.975667504
C0	1.361373912
C0	0.824509758
C0	1.29843283
C0	1.430235934
C0	1.097843333
C0	0.633552287
C0	0.945569613
C0	1.173489702
C0	1.512450046
C0	0.889031627
C0	1.098844631
C0	1.222556533
C0	1.489810119
C0	0.835306663
C0	0.850405469
C0	1.467088921
C0	0.805929096
C0	1.07292178
C0	1.093266923
C0	1.648470474
C0	0.711823926
C0	0.617809326
C0	1.211086592
C0	1.422786196
C0	1.059171013
C0	0.997699322
C0	1.469766187
C0	1.468636276
C0	0.99631786
C0	1.116151163
C0	1.298549685
