Contig	C0_1_V	C0_2_V	C63_1_V	C63_2_V	T0_1_V	T0_2_V	T63_1_V	T63_2_V
KSW-C0_2_V_NODE_192_length_5868_cov_48.797351||full	35.062023	38.32991	23.572577	5.6332836	20.038853	23.050877	2.1592803	1.6284599
KSW-C0_2_V_NODE_203_length_5778_cov_3.659619||full	3.1086726	6.3550515	1.463348	0	1.6448802	4.8954873	0	0
KSW-C0_2_V_NODE_208_length_5721_cov_652.755559||full	357.01996	469.07092	157.98051	35.779724	245.44272	414.01852	7.823975	12.159703
KSW-C0_2_V_NODE_216_length_5673_cov_5.620862||full	3.3296597	9.04898	1.6146241	0	2.6660197	2.1993845	0	0
KSW-C0_2_V_NODE_225_length_5586_cov_6.758995||full	9.23889	10.287757	17.387863	14.368839	17.622177	7.7042255	8.174282	3.9269428
KSW-C0_2_V_NODE_227_length_5574_cov_23.730386||full	53.321346	31.996475	29.31177	24.991135	54.89791	14.931451	31.021936	12.465623
KSW-C0_2_V_NODE_228_length_5573_cov_8.449438||full	0	13.418094	4.6245856	0	5.6064305	4.3617296	0	0
KSW-C0_2_V_NODE_236_length_5511_cov_52.939333||full	51.40084	72.592285	30.679573	5.83132	21.569237	39.5696	0.923887	1.3394852
KSW-C0_2_V_NODE_237_length_5509_cov_166.730290||full	506.62216	148.8155	132.86215	774.1446	487.3812	181.69603	1081.6045	705.6491
KSW-C0_2_V_NODE_246_length_5432_cov_4.603310||full	5.3435345	7.839523	0	0	2.2087092	2.556678	0	0
KSW-C0_2_V_NODE_249_length_5428_cov_4.897636||full	7.5683327	5.496004	3.061173	1.8874197	4.7406206	2.9683976	1.0499102	0.9190365
KSW-C0_2_V_NODE_266_length_5270_cov_11197.438926||full	35188.55	18323.74	33564.74	21173.207	26888.13	24252.725	7754.974	6987.548
KSW-C0_2_V_NODE_272_length_5240_cov_17.742334||full	15.812501	15.708967	4.888669	0.9957607	5.6706085	4.9649777	0	0
KSW-C0_2_V_NODE_279_length_5185_cov_3.276023||full	0	0	10.3571	4.684127	7.2038603	1.3727409	7.196013	4.4633064
KSW-C0_2_V_NODE_282_length_5153_cov_13.165163||full	8.58523	13.124243	8.705311	1.7214564	5.580319	12.534921	0	0.85321116
KSW-C0_2_V_NODE_299_length_5043_cov_7.937851||full	2.809418	11.603098	3.7056434	1.136377	3.5911689	1.2392864	0	0
KSW-C0_2_V_NODE_302_length_5026_cov_4.666063||full	3.0257895	5.692954	0	0	0	1.1746315	0	0
KSW-C0_2_V_NODE_304_length_5018_cov_5.001209||full	5.0270653	7.1909065	5.135355	5.302332	13.894909	2.8368883	5.595472	3.6843708
KSW-C0_2_V_NODE_306_length_5010_cov_6.635923||full	10.75993	10.381828	3.9656444	0	7.4555926	4.470039	0	0
KSW-C63_1_V_NODE_1_length_69953_cov_198.780866||full	87.429375	109.27558	124.746086	138.82184	147.64235	180.71655	62.789013	79.44297
