vMAGs	sample
KSW-V-C0_2-NODE_272_length_5240_cov_17.742334	KSW-VF
KSW-V-C0_2-NODE_281_length_5155_cov_12.163922	KSW-VF
KSW-V-C0_2-NODE_282_length_5153_cov_13.165163	KSW-VF
KSW-V-C0_2-NODE_283_length_5146_cov_11.441564	KSW-VF
KSW-V-C0_2-NODE_284_length_5145_cov_11.619450	KSW-VF
KSW-V-C0_2-NODE_292_length_5079_cov_31.475916	KSW-VF
KSW-V-C0_2-NODE_297_length_5058_cov_95.484509	KSW-VF
KSW-V-C0_2-NODE_299_length_5043_cov_7.937851	KSW-VF
KSW-V-C0_2-NODE_2_length_38543_cov_8.248025	KSW-VF
KSW-V-C0_2-NODE_302_length_5026_cov_4.666063	KSW-VF
KSW-V-C0_2-NODE_306_length_5010_cov_6.635923	KSW-VF
KSW-V-C0_2-NODE_33_length_13489_cov_10.670091	KSW-VF
KSW-V-C0_2-NODE_47_length_11054_cov_123.581780	KSW-VF
KSW-V-C0_2-NODE_73_length_8661_cov_4.831048	KSW-VF
KSW-V-C0_2-NODE_80_length_8359_cov_45.037211	KSW-VF
KSW-V-C63_1-NODE_13_length_33338_cov_15.601238	KSW-VF
KSW-V-C63_1-NODE_258_length_7864_cov_13.649763	KSW-VF
KSW-V-C63_1-NODE_419_length_6345_cov_15.342130	KSW-VF
KSW-V-C63_1-NODE_473_length_5985_cov_3.974368	KSW-VF
KSW-V-C63_1-NODE_482_length_5902_cov_24.197879	KSW-VF
KSW-V-C63_1-NODE_495_length_5823_cov_455.965153	KSW-VF
KSW-V-C63_1-NODE_496_length_5821_cov_23.655741	KSW-VF
KSW-V-C63_1-NODE_500_length_5804_cov_334.303183	KSW-VF
KSW-V-C63_1-NODE_502_length_5796_cov_7.470650	KSW-VF
KSW-V-C63_1-NODE_515_length_5691_cov_4.588361	KSW-VF
KSW-V-C63_1-NODE_547_length_5450_cov_7.957183	KSW-VF
KSW-V-C63_1-NODE_564_length_5375_cov_23.715414	KSW-VF
KSW-V-C63_1-NODE_616_length_5104_cov_7.003763	KSW-VF
KSW-V-C63_2-NODE_253_length_9053_cov_226.475772	KSW-VF
KSW-V-C63_2-NODE_281_length_8681_cov_159.137839	KSW-VF
KSW-V-C63_2-NODE_438_length_6793_cov_17.212971	KSW-VF
KSW-V-C63_2-NODE_456_length_6629_cov_126.751293	KSW-VF
KSW-V-C63_2-NODE_481_length_6482_cov_175.435818	KSW-VF
KSW-V-C63_2-NODE_522_length_6168_cov_62.783903	KSW-VF
KSW-V-C63_2-NODE_533_length_6100_cov_6.461042	KSW-VF
KSW-V-C63_2-NODE_550_length_5978_cov_10.570657	KSW-VF
KSW-V-C63_2-NODE_632_length_5537_cov_19.794053	KSW-VF
KSW-V-C63_2-NODE_666_length_5370_cov_32.618250	KSW-VF
KSW-V-C63_2-NODE_681_length_5333_cov_64.917961	KSW-VF
KSW-V-C63_2-NODE_731_length_5143_cov_7.888365	KSW-VF
KSW-V-k141_1013224	KSW-VF
KSW-V-k141_1017034	KSW-VF
KSW-V-k141_1023131	KSW-VF
KSW-V-k141_1030393	KSW-VF
KSW-V-k141_1033467	KSW-VF
KSW-V-k141_1033891	KSW-VF
KSW-V-k141_1034314	KSW-VF
KSW-V-k141_1035418	KSW-VF
KSW-V-k141_1035828	KSW-VF
KSW-V-k141_1037253	KSW-VF
KSW-V-k141_1037893	KSW-VF
KSW-V-k141_1071388	KSW-VF
KSW-V-k141_1071720	KSW-VF
KSW-V-k141_1071821	KSW-VF
KSW-V-k141_1071899	KSW-VF
KSW-V-k141_1071963	KSW-VF
KSW-V-k141_1072389	KSW-VF
KSW-V-k141_1072481	KSW-VF
KSW-V-k141_1072978	KSW-VF
KSW-V-k141_1073443	KSW-VF
KSW-V-k141_1074625	KSW-VF
KSW-V-k141_1075261	KSW-VF
KSW-V-k141_1076503	KSW-VF
KSW-V-k141_1076527	KSW-VF
KSW-V-k141_1077921	KSW-VF
KSW-V-k141_1078217	KSW-VF
KSW-V-k141_109157	KSW-VF
KSW-V-k141_109328	KSW-VF
KSW-V-k141_111042	KSW-VF
KSW-V-k141_111880	KSW-VF
KSW-V-k141_115574	KSW-VF
KSW-V-k141_11920	KSW-VF
KSW-V-k141_12060	KSW-VF
KSW-V-k141_121385	KSW-VF
KSW-V-k141_141488	KSW-VF
KSW-V-k141_142582	KSW-VF
KSW-V-k141_14298	KSW-VF
KSW-V-k141_143301	KSW-VF
KSW-V-k141_149167	KSW-VF
KSW-V-k141_149205	KSW-VF
KSW-V-k141_150458	KSW-VF
KSW-V-k141_167794	KSW-VF
KSW-V-k141_174479	KSW-VF
KSW-V-k141_176614	KSW-VF
KSW-V-k141_178692	KSW-VF
KSW-V-k141_181580	KSW-VF
KSW-V-k141_190238	KSW-VF
KSW-V-k141_191336	KSW-VF
KSW-V-k141_193291	KSW-VF
KSW-V-k141_194634	KSW-VF
KSW-V-k141_218253	KSW-VF
KSW-V-k141_221374	KSW-VF
KSW-V-k141_223605	KSW-VF
KSW-V-k141_223624	KSW-VF
KSW-V-k141_22479	KSW-VF
KSW-V-k141_225194	KSW-VF
KSW-V-k141_225410	KSW-VF
KSW-V-k141_226634	KSW-VF
KSW-V-k141_230200	KSW-VF
KSW-V-k141_234704	KSW-VF
KSW-V-k141_24013	KSW-VF
KSW-V-k141_241865	KSW-VF
KSW-V-k141_241931	KSW-VF
KSW-V-k141_244143	KSW-VF
KSW-V-k141_254135	KSW-VF
KSW-V-k141_255005	KSW-VF
KSW-V-k141_259107	KSW-VF
KSW-V-k141_261857	KSW-VF
KSW-V-k141_263085	KSW-VF
KSW-V-k141_277152	KSW-VF
KSW-V-k141_278602	KSW-VF
KSW-V-k141_283683	KSW-VF
KSW-V-k141_283924	KSW-VF
KSW-V-k141_28620	KSW-VF
KSW-V-k141_291519	KSW-VF
KSW-V-k141_299564	KSW-VF
KSW-V-k141_302301	KSW-VF
KSW-V-k141_305974	KSW-VF
KSW-V-k141_312324	KSW-VF
KSW-V-k141_313476	KSW-VF
KSW-V-k141_317128	KSW-VF
KSW-V-k141_318041	KSW-VF
KSW-V-k141_318151	KSW-VF
KSW-V-k141_319266	KSW-VF
KSW-V-k141_321409	KSW-VF
KSW-V-k141_328459	KSW-VF
KSW-V-k141_333557	KSW-VF
KSW-V-k141_344446	KSW-VF
KSW-V-k141_347933	KSW-VF
KSW-V-k141_348005	KSW-VF
KSW-V-k141_358374	KSW-VF
KSW-V-k141_362741	KSW-VF
KSW-V-k141_366076	KSW-VF
KSW-V-k141_366580	KSW-VF
KSW-V-k141_374888	KSW-VF
KSW-V-k141_37700	KSW-VF
KSW-V-k141_377223	KSW-VF
KSW-V-k141_377960	KSW-VF
KSW-V-k141_383769	KSW-VF
KSW-V-k141_386372	KSW-VF
KSW-V-k141_389398	KSW-VF
KSW-V-k141_393481	KSW-VF
KSW-V-k141_396850	KSW-VF
KSW-V-k141_397326	KSW-VF
KSW-V-k141_399387	KSW-VF
KSW-V-k141_399483	KSW-VF
KSW-V-k141_401984	KSW-VF
KSW-V-k141_40228	KSW-VF
KSW-V-k141_411689	KSW-VF
KSW-V-k141_423091	KSW-VF
KSW-V-k141_432718	KSW-VF
KSW-V-k141_438215	KSW-VF
KSW-V-k141_45706	KSW-VF
KSW-V-k141_458646	KSW-VF
KSW-V-k141_464494	KSW-VF
KSW-V-k141_47080	KSW-VF
KSW-V-k141_473751	KSW-VF
KSW-V-k141_474118	KSW-VF
KSW-V-k141_477540	KSW-VF
KSW-V-k141_479160	KSW-VF
KSW-V-k141_484674	KSW-VF
KSW-V-k141_491295	KSW-VF
KSW-V-k141_491320	KSW-VF
KSW-V-k141_49187	KSW-VF
KSW-V-k141_494444	KSW-VF
KSW-V-k141_497393	KSW-VF
KSW-V-k141_498861	KSW-VF
KSW-V-k141_499569	KSW-VF
KSW-V-k141_50508	KSW-VF
KSW-V-k141_505976	KSW-VF
KSW-V-k141_510792	KSW-VF
KSW-V-k141_519273	KSW-VF
KSW-V-k141_522613	KSW-VF
KSW-V-k141_52407	KSW-VF
KSW-V-k141_527061	KSW-VF
KSW-V-k141_528467	KSW-VF
KSW-V-k141_530616	KSW-VF
KSW-V-k141_532881	KSW-VF
KSW-V-k141_5360	KSW-VF
KSW-V-k141_537739	KSW-VF
KSW-V-k141_54226	KSW-VF
KSW-V-k141_554756	KSW-VF
KSW-V-k141_562269	KSW-VF
KSW-V-k141_563011	KSW-VF
KSW-V-k141_564701	KSW-VF
KSW-V-k141_565719	KSW-VF
KSW-V-k141_566877	KSW-VF
KSW-V-k141_569557	KSW-VF
KSW-V-k141_570790	KSW-VF
KSW-V-k141_583499	KSW-VF
KSW-V-k141_591379	KSW-VF
KSW-V-k141_594465	KSW-VF
KSW-V-k141_597131	KSW-VF
KSW-V-k141_599733	KSW-VF
KSW-V-k141_603385	KSW-VF
KSW-V-k141_606319	KSW-VF
KSW-V-k141_608612	KSW-VF
KSW-V-k141_615445	KSW-VF
KSW-V-k141_626202	KSW-VF
KSW-V-k141_626248	KSW-VF
KSW-V-k141_629841	KSW-VF
KSW-V-k141_631371	KSW-VF
KSW-V-k141_634274	KSW-VF
KSW-V-k141_645211	KSW-VF
KSW-V-k141_646791	KSW-VF
KSW-V-k141_650929	KSW-VF
KSW-V-k141_650996	KSW-VF
KSW-V-k141_652782	KSW-VF
KSW-V-k141_655945	KSW-VF
KSW-V-k141_668490	KSW-VF
KSW-V-k141_669770	KSW-VF
KSW-V-k141_669798	KSW-VF
KSW-V-k141_670507	KSW-VF
KSW-V-k141_672257	KSW-VF
KSW-V-k141_679858	KSW-VF
KSW-V-k141_680049	KSW-VF
KSW-V-k141_687100	KSW-VF
KSW-V-k141_688235	KSW-VF
KSW-V-k141_688814	KSW-VF
KSW-V-k141_692129	KSW-VF
KSW-V-k141_694159	KSW-VF
KSW-V-k141_697978	KSW-VF
KSW-V-k141_698034	KSW-VF
KSW-V-k141_698534	KSW-VF
KSW-V-k141_710788	KSW-VF
KSW-V-k141_712687	KSW-VF
KSW-V-k141_713943	KSW-VF
KSW-V-k141_729643	KSW-VF
KSW-V-k141_73220	KSW-VF
KSW-V-k141_732802	KSW-VF
KSW-V-k141_73458	KSW-VF
KSW-V-k141_738316	KSW-VF
KSW-V-k141_741861	KSW-VF
KSW-V-k141_742758	KSW-VF
KSW-V-k141_744619	KSW-VF
KSW-V-k141_748622	KSW-VF
KSW-V-k141_749456	KSW-VF
KSW-V-k141_752119	KSW-VF
KSW-V-k141_75238	KSW-VF
KSW-V-k141_753687	KSW-VF
KSW-V-k141_755442	KSW-VF
KSW-V-k141_761451	KSW-VF
KSW-V-k141_761515	KSW-VF
KSW-V-k141_767523	KSW-VF
KSW-V-k141_769305	KSW-VF
KSW-V-k141_770326	KSW-VF
KSW-V-k141_772760	KSW-VF
KSW-V-k141_77692	KSW-VF
KSW-V-k141_776997	KSW-VF
KSW-V-k141_780025	KSW-VF
KSW-V-k141_78378	KSW-VF
KSW-V-k141_78517	KSW-VF
KSW-V-k141_79488	KSW-VF
KSW-V-k141_79808	KSW-VF
KSW-V-k141_800773	KSW-VF
KSW-V-k141_800776	KSW-VF
KSW-V-k141_801963	KSW-VF
KSW-V-k141_803034	KSW-VF
KSW-V-k141_803511	KSW-VF
KSW-V-k141_815649	KSW-VF
KSW-V-k141_82229	KSW-VF
KSW-V-k141_834021	KSW-VF
KSW-V-k141_836448	KSW-VF
KSW-V-k141_847859	KSW-VF
KSW-V-k141_850582	KSW-VF
KSW-V-k141_852764	KSW-VF
KSW-V-k141_856108	KSW-VF
KSW-V-k141_858465	KSW-VF
KSW-V-k141_868215	KSW-VF
KSW-V-k141_870683	KSW-VF
KSW-V-k141_871082	KSW-VF
KSW-V-k141_873854	KSW-VF
KSW-V-k141_88281	KSW-VF
KSW-V-k141_890128	KSW-VF
KSW-V-k141_890731	KSW-VF
KSW-V-k141_900660	KSW-VF
KSW-V-k141_902599	KSW-VF
KSW-V-k141_904404	KSW-VF
KSW-V-k141_905849	KSW-VF
KSW-V-k141_906127	KSW-VF
KSW-V-k141_906596	KSW-VF
KSW-V-k141_908562	KSW-VF
KSW-V-k141_911814	KSW-VF
KSW-V-k141_913274	KSW-VF
KSW-V-k141_91810	KSW-VF
KSW-V-k141_918939	KSW-VF
KSW-V-k141_924612	KSW-VF
KSW-V-k141_929357	KSW-VF
KSW-V-k141_940249	KSW-VF
KSW-V-k141_940594	KSW-VF
KSW-V-k141_942068	KSW-VF
KSW-V-k141_945785	KSW-VF
KSW-V-k141_947437	KSW-VF
KSW-V-k141_949168	KSW-VF
KSW-V-k141_956809	KSW-VF
KSW-V-k141_967863	KSW-VF
KSW-V-k141_974208	KSW-VF
KSW-V-k141_976457	KSW-VF
KSW-V-k141_977289	KSW-VF
KSW-V-k141_977641	KSW-VF
KSW-V-k141_983408	KSW-VF
KSW-V-k141_985130	KSW-VF
KSW-V-k141_985501	KSW-VF
KSW-V-k141_988256	KSW-VF
KSW-V-k141_9883	KSW-VF
KSW-V-k141_989183	KSW-VF
KSW-V-k141_993487	KSW-VF
KSW-V-k141_996202	KSW-VF
KSW-V-k141_99672	KSW-VF
KSW-V-k141_997491	KSW-VF
KSW-V-S1C10746	KSW-VF
KSW-V-S1C13235	KSW-VF
KSW-V-S1C13548	KSW-VF
KSW-V-S1C13782	KSW-VF
KSW-V-S1C14512	KSW-VF
KSW-V-S1C15218	KSW-VF
KSW-V-S1C1557	KSW-VF
KSW-V-S1C16114	KSW-VF
KSW-V-S1C1694	KSW-VF
KSW-V-S1C17344	KSW-VF
KSW-V-S1C17358	KSW-VF
KSW-V-S1C19478	KSW-VF
KSW-V-S1C19589	KSW-VF
KSW-V-S1C20283	KSW-VF
KSW-V-S1C20471	KSW-VF
KSW-V-S1C20699	KSW-VF
KSW-V-S1C2432	KSW-VF
KSW-V-S1C3235	KSW-VF
KSW-V-S1C3436	KSW-VF
KSW-V-S1C5143	KSW-VF
KSW-V-S1C5380	KSW-VF
KSW-V-S1C6005	KSW-VF
KSW-V-S1C79	KSW-VF
KSW-V-S1C9318	KSW-VF
KSW-V-S1C9520	KSW-VF
KSW-V-S1C97	KSW-VF
KSW-V-S2C10257	KSW-VF
