Contig	S12_0_3	S12_12_15	S12_21_24	S3_0_3	S3_12_15	S3_21_24	S9_0_3	S9_12_15	S9_21_24
KSD-NODE_3263_length_10430_cov_4.831518||full	13.859273	0	0	0	0	0	0	0	0
KSD-NODE_3274_length_10409_cov_7.069538||full	18.15942	0	4.707387	0	0	0	0	0	0
KSD-NODE_3339_length_10303_cov_9.963993||full	27.40496	0	0	0	0	0	0	34.171173	12.063787
KSD-NODE_3377_length_10230_cov_4.999214||full	13.47121	8.005127	7.1279335	0	9.803244	9.576246	0	0	7.219757
KSD-NODE_3383_length_10221_cov_14.907043||full	32.320576	15.82242	18.798717	97.22594	76.996346	115.11785	0	68.62838	164.30139
KSD-NODE_3384_length_10220_cov_4.875553||full	9.577434	0	2.9506354	27.374964	3.447984	0	13.727845	0	9.536114
KSD-NODE_3415_length_10157_cov_7.201049||full	12.958307	40.553013	56.315083	0	29.143787	42.42522	0	28.88302	29.87646
KSD-NODE_3451_length_10069_cov_36.497603||full	64.36677	4.1040883	3.4658535	0	0	4.3126993	0	0	0
KSD-NODE_3454_length_10065_cov_4.707592||full	8.503073	4.044219	0	0	0	0	0	0	0
KSD-NODE_3473_length_10037_cov_5.124123||full	11.060156	0	0	0	0	0	0	0	0
KSD-NODE_3485_length_10013_cov_5.157160||full	14.2901745	0	0	0	0	0	0	0	0
KSD-NODE_3548_length_9911_cov_3.960024||full	11.261981	0	0	0	0	0	0	0	0
KSD-NODE_3588_length_9856_cov_8.825426||full	12.078312	16.591593	19.09966	0	3.3025274	6.7515216	0	0	0
KSD-NODE_3629_length_9779_cov_15.066639||full	30.872297	9.863217	6.372629	17.45333	7.556684	6.8519554	25.961784	19.449486	21.657509
KSD-NODE_3646_length_9742_cov_6.963250||full	18.659803	19.88144	20.491121	0	13.906554	9.107404	0	0	19.27351
KSD-NODE_3681_length_9683_cov_4.691836||full	13.232885	0	0	0	0	0	0	0	0
KSD-NODE_3690_length_9670_cov_9.186999||full	24.567791	0	0	0	0	15.963036	0	0	0
KSD-NODE_3696_length_9661_cov_4.794920||full	6.7487783	0	0	0	0	0	0	0	0
KSD-NODE_3719_length_9630_cov_10.292428||full	15.037816	42.853085	19.954958	0	3.8833039	7.1514354	0	12.892486	21.442724
KSD-NODE_3728_length_9617_cov_18.067559||full	35.28465	505.74658	40.13128	112.04124	190.57733	325.78107	0	33.159863	172.97954
KSD-NODE_3737_length_9612_cov_4.831956||full	13.666724	0	0	0	0	0	0	0	0
KSD-NODE_3747_length_9606_cov_6.633546||full	13.646038	5.989729	8.990409	0	0	6.09757	0	0	11.835185
KSD-NODE_3755_length_9589_cov_5.565870||full	8.220565	0	0	0	11.284462	4.1444674	0	0	0
KSD-NODE_3817_length_9489_cov_4.056392||full	11.412965	0	0	0	0	0	0	0	0
KSD-NODE_3839_length_9455_cov_5.292660||full	14.912892	0	0	0	0	0	0	0	0
KSD-NODE_3869_length_9395_cov_74.877516||full	194.3847	13.530394	4.6509876	27.620737	42.32016	17.951313	0	27.487238	45.270607
KSD-NODE_3883_length_9371_cov_4.474667||full	12.480188	0	0	0	0	0	0	0	0
KSD-NODE_3884_length_9370_cov_4.803006||full	13.330242	0	0	0	0	0	0	0	0
KSD-NODE_3911_length_9318_cov_3.564504||full	8.575744	0	11.379166	0	0	0	0	8.165693	0
KSD-NODE_3913_length_9316_cov_5.366051||full	15.250524	0	0	0	0	0	0	0	0
KSD-NODE_3920_length_9309_cov_4.776853||full	13.498623	0	0	0	0	0	0	0	0
KSD-NODE_3928_length_9297_cov_4.273317||full	11.941432	0	0	0	0	0	0	0	0
KSD-NODE_3940_length_9264_cov_6.076013||full	14.99214	3.620243	5.498841	0	0	0	0	0	0
KSD-NODE_3952_length_9243_cov_9.677405||full	26.194077	61.281574	106.89884	0	17.352589	52.569305	23.223936	92.47356	90.632195
KSD-NODE_3961_length_9230_cov_4.510191||full	12.665365	0	0	0	0	0	0	0	0
KSD-NODE_3992_length_9187_cov_4.184954||full	11.087891	0	0	0	0	0	0	0	0
KSD-NODE_3996_length_9176_cov_5.271790||full	14.663649	0	0	0	0	0	0	0	0
KSD-NODE_4026_length_9121_cov_11.979373||full	20.595325	2.4675846	32.90484	0	3.9322023	0	0	15.46719	14.731659
KSD-NODE_4043_length_9098_cov_4.379962||full	12.259771	0	0	0	0	0	0	0	0
KSD-NODE_4051_length_9089_cov_10.527230||full	23.063765	5.233457	33.67799	0	0	6.964019	0	12.259495	0
KSD-NODE_4058_length_9081_cov_9.530911||full	24.761707	23.207895	11.370525	0	5.3808517	5.652955	0	9.561205	11.376157
KSD-NODE_4106_length_9020_cov_4.766425||full	13.461586	12.124789	5.135406	0	3.0918307	0	0	9.754112	14.098505
KSD-NODE_4125_length_8985_cov_6.388130||full	12.409863	0	0	0	0	0	0	0	0
KSD-NODE_4144_length_8960_cov_4.170241||full	11.910013	0	0	0	0	0	0	0	0
KSD-NODE_4159_length_8940_cov_5.015869||full	7.078816	2.065005	0	0	0	0	0	0	0
KSD-NODE_4193_length_8888_cov_6.328314||full	17.800623	0	0	0	0	0	0	0	0
KSD-NODE_4267_length_8784_cov_5.109062||full	14.344855	0	0	0	0	0	0	0	0
KSD-NODE_4282_length_8768_cov_3.638816||full	10.334916	0	0	0	0	0	0	0	0
KSD-NODE_4285_length_8765_cov_6.049598||full	16.211185	2.936218	0	0	10.989412	30.365284	0	0	0
KSD-NODE_4319_length_8738_cov_4.729932||full	9.388594	0	0	0	0	0	0	0	0
KSD-NODE_4399_length_8626_cov_5.299732||full	9.829669	2.5541446	5.049822	0	0	0	0	9.754612	27.71991
KSD-NODE_4445_length_8576_cov_12.943317||full	33.133167	0	0	0	0	0	0	0	0
KSD-NODE_4474_length_8536_cov_5.958378||full	16.210283	0	0	0	0	0	0	0	0
KSD-NODE_4629_length_8338_cov_4.323434||full	12.60434	0	0	0	0	0	0	0	0
KSD-NODE_4635_length_8333_cov_4.305750||full	11.717383	0	0	0	0	0	0	0	0
KSD-NODE_4657_length_8308_cov_9.393796||full	26.335543	0	0	0	0	0	0	0	0
KSD-NODE_4729_length_8222_cov_6.359496||full	5.6730466	5.089875	12.043061	0	0	0	0	6.654473	9.414285
KSD-NODE_4805_length_8146_cov_9.078235||full	17.116331	5.234381	39.39582	0	10.368119	7.8289294	0	8.274875	12.672616
KSD-NODE_4811_length_8142_cov_6.398046||full	17.884464	0	0	0	0	0	0	0	0
KSD-NODE_4812_length_8142_cov_5.443057||full	15.082947	0	0	0	0	0	0	0	0
KSD-NODE_4836_length_8109_cov_6.332257||full	18.12831	0	0	0	0	0	0	0	0
KSD-NODE_4837_length_8108_cov_8.901155||full	20.633348	37.320915	224.85725	32.5828	81.47916	57.161293	0	11.604781	69.68829
KSD-NODE_4844_length_8102_cov_5.107369||full	11.012401	0	1.9632198	0	0	0	0	5.2328863	0
KSD-NODE_4955_length_7990_cov_44.864902||full	93.819016	5.9541388	6.4722414	0	5.3947487	9.368814	0	7.43321	6.793358
KSD-NODE_4974_length_7964_cov_3.444557||full	6.461922	3.5245073	6.0048656	17.022108	5.9079347	6.4387183	0	8.0420065	10.94681
KSD-NODE_5032_length_7918_cov_6.561109||full	18.244705	0	0	0	0	0	0	0	0
KSD-NODE_5067_length_7889_cov_3.541741||full	9.175794	0	0	0	0	0	0	0	0
KSD-NODE_5129_length_7825_cov_5.235521||full	14.805163	0	0	0	0	0	0	0	0
KSD-NODE_5130_length_7824_cov_4.707298||full	9.252044	0	0	0	0	0	0	0	0
KSD-NODE_5156_length_7800_cov_5.887153||full	16.056417	0	0	0	0	0	0	0	0
KSD-NODE_5212_length_7751_cov_12.501689||full	30.956072	17.231691	18.313822	0	26.097958	50.821545	0	0	12.604887
KSD-NODE_5214_length_7750_cov_6.795062||full	14.669795	29.120049	36.07073	0	2.6110036	0	0	0	25.492483
KSD-NODE_5221_length_7740_cov_3.800520||full	9.660858	0	0	0	0	0	0	0	0
KSD-NODE_5238_length_7727_cov_10.041971||full	23.253082	0	0	0	0	15.133598	0	0	0
KSD-NODE_5242_length_7723_cov_4.648279||full	11.039396	5.7561016	6.394736	0	13.668501	8.675653	0	6.480554	19.010921
KSD-NODE_5251_length_7716_cov_3.916199||full	10.283655	0	0	0	0	0	0	0	0
KSD-NODE_5259_length_7707_cov_4.798745||full	12.861773	0	0	0	0	0	0	0	0
