	C0_1_V	C0_2_V	C63_1_V	C63_2_V
KSW-C0_1_V_NODE_109_length_8563_cov_7.683709||full	8.60977145128149	8.22204329173912	7.73158129665499	7.81175477907593
KSW-C0_1_V_NODE_110_length_8559_cov_8.122295||full	8.86394261562686	10.0722240328085	6.84652637529407	4.93514880692062
KSW-C0_1_V_NODE_112_length_8546_cov_8.370981||full	8.57222804990642	9.78748790145923	6.12517979453204	5.2341612204572
KSW-C0_1_V_NODE_114_length_8472_cov_5.632886||full	8.27787907521718	7.79510767945547	5.86913679887059	5.18858139328051
KSW-C0_1_V_NODE_121_length_8181_cov_6.464681||full	8.56268748498298	10.2793705254839	7.9614101151941	5.2341612204572
KSW-C0_1_V_NODE_123_length_8029_cov_17.275520||full	9.77695859160305	8.75353487578576	8.80361232155005	9.09282764847157
KSW-C0_1_V_NODE_127_length_7931_cov_11.101828||full	9.33098448539572	9.64499590407288	7.89451445457965	6.39280335031916
KSW-C0_1_V_NODE_137_length_7712_cov_5.908058||full	7.7142962893162	7.15242178253863	7.06019702874306	6.33203147994162
KSW-C0_1_V_NODE_139_length_7572_cov_34.490754||full	10.4758935493006	11.2602724859771	10.6751079663635	11.4827266803991
KSW-C0_1_V_NODE_146_length_7445_cov_42.105683||full	10.7142593369481	10.8824454602257	10.3789925575992	10.5733857889084
KSW-C0_1_V_NODE_148_length_7426_cov_75.581332||full	11.7961604670538	10.7633289456874	11.045356791295	11.2724916823322
KSW-C0_1_V_NODE_160_length_7179_cov_6.889809||full	9.27950245785217	4.65417222651686	2.23915752259752	3.22736465344532
KSW-C0_1_V_NODE_168_length_6976_cov_7.545441||full	9.30833010264879	2.23915752259752	2.23915752259752	2.23915752259752
KSW-C0_1_V_NODE_192_length_6391_cov_7.574811||full	8.81656583794412	7.50930920586411	7.46955864145208	7.64738315413317
KSW-C0_1_V_NODE_195_length_6324_cov_3.979582||full	8.31244795748232	4.1851048574067	2.23915752259752	2.94461696493448
KSW-C0_1_V_NODE_197_length_6310_cov_7.192326||full	9.22611488504974	10.3061353343536	6.61641239657501	5.65697332983766
KSW-C0_1_V_NODE_203_length_6218_cov_5.698848||full	8.82457082337743	4.44053140524565	2.23915752259752	2.94461696493448
KSW-C0_1_V_NODE_213_length_6119_cov_6.253628||full	8.4007744576916	7.93891565404673	7.68285021947314	7.73581502551968
KSW-C0_1_V_NODE_214_length_6119_cov_4.719492||full	8.44298852997351	4.65417222651686	3.01838327880068	2.94461696493448
KSW-C0_1_V_NODE_218_length_6068_cov_4.097289||full	7.42926758618644	5.70690241504552	7.24620462870072	7.43324663703527
KSW-C0_1_V_NODE_219_length_6061_cov_5.944555||full	8.19384188659935	6.10767079697873	9.3568937631479	9.41101689732526
KSW-C0_1_V_NODE_228_length_5969_cov_4.273926||full	8.20615123608418	4.83844739956246	3.01838327880068	3.43842987134302
KSW-C0_1_V_NODE_230_length_5952_cov_115.507207||full	12.1209837762973	11.9772849531774	13.1284005314543	13.1161366369492
KSW-C0_1_V_NODE_242_length_5844_cov_4.542235||full	7.29733503312092	6.89435342580557	6.61641239657501	6.15611116011304
KSW-C0_1_V_NODE_244_length_5800_cov_9.221584||full	9.22005910156719	11.6276855666415	6.67748699435815	8.19302767658145
KSW-C0_1_V_NODE_251_length_5697_cov_5.062035||full	7.83019386496605	7.85850404573023	8.59303017520947	9.16984801100765
KSW-C0_1_V_NODE_257_length_5667_cov_38.502495||full	10.9131499341373	11.6216100037502	9.04628346798645	6.98556012284004
KSW-C0_1_V_NODE_266_length_5588_cov_22.264775||full	10.2831580674256	11.7469079584101	7.60128185024677	5.58893143432309
KSW-C0_1_V_NODE_270_length_5558_cov_6.468290||full	8.57222804990642	8.13938649283164	8.65999780625001	9.91642046616744
KSW-C0_1_V_NODE_277_length_5493_cov_27.257815||full	10.3948882545153	11.6753903857895	10.4808024839396	11.6885050004591
KSW-C0_1_V_NODE_278_length_5472_cov_517.713679||full	14.6890834641813	16.0052208393153	16.2909680367177	14.6006039021564
