	C0_1_C	C0_2_C	C63_1_C	C63_2_C
KSW-C63_1_V_NODE_285_length_7449_cov_4.820665||full	2.5317251510737	3.15203005540446	2.5317251510737	2.5317251510737
KSW-C63_1_V_NODE_288_length_7401_cov_4.679690||full	4.21902616517125	4.79331404766233	4.49844204323697	4.43726575838817
KSW-C63_1_V_NODE_297_length_7242_cov_5.335049||full	4.08517143508171	4.10625362164894	2.5317251510737	4.1215138010276
KSW-C63_1_V_NODE_304_length_7192_cov_7.089113||full	2.5317251510737	3.15203005540446	3.46463352344005	2.5317251510737
KSW-C63_1_V_NODE_309_length_7148_cov_21.330326||full	5.09578228186981	5.76484456508975	5.74142588775251	5.63522557815563
KSW-C63_1_V_NODE_310_length_7147_cov_4.703751||full	2.5317251510737	2.5317251510737	3.46463352344005	4.43726575838817
KSW-C63_1_V_NODE_325_length_7049_cov_9.612382||full	4.33930598842852	4.53280245267819	4.3145874887721	2.5317251510737
KSW-C63_1_V_NODE_341_length_6931_cov_5.323735||full	5.38375431082524	6.10043777212193	4.80169187227425	5.24215575814538
KSW-C63_1_V_NODE_353_length_6822_cov_13.595833||full	5.15840752039031	5.01077632125782	4.09783305196449	4.68888125033889
KSW-C63_1_V_NODE_356_length_6793_cov_8.137281||full	4.08517143508171	3.74577306151715	4.09783305196449	2.5317251510737
KSW-C63_1_V_NODE_361_length_6769_cov_14.977361||full	5.70711879839473	5.1535802669269	6.73309885659593	6.11471428829528
KSW-C63_1_V_NODE_390_length_6558_cov_25.738736||full	4.54951503497976	3.87988673391643	5.59771447755709	4.43726575838817
KSW-C63_1_V_NODE_401_length_6451_cov_5.047217||full	6.87678934463965	7.06595625150678	7.1700723467446	8.59965025391544
KSW-C63_1_V_NODE_402_length_6445_cov_4.120031||full	3.93347969018743	4.37952955285128	4.49844204323697	3.68284383778905
KSW-C63_1_V_NODE_408_length_6424_cov_21.953682||full	3.93347969018743	4.10625362164894	4.3145874887721	4.1215138010276
KSW-C63_1_V_NODE_415_length_6398_cov_19.603027||full	3.93347969018743	4.79331404766233	4.80169187227425	2.5317251510737
KSW-C63_1_V_NODE_446_length_6168_cov_7.062326||full	3.75685345068644	4.20447280754932	4.3145874887721	4.1215138010276
KSW-C63_1_V_NODE_476_length_5940_cov_4.588955||full	2.5317251510737	2.5317251510737	5.43756838894754	2.5317251510737
KSW-C63_1_V_NODE_478_length_5928_cov_70.762813||full	4.8115421632051	5.70533934140644	5.51993422058679	5.0816541107066
KSW-C63_1_V_NODE_479_length_5924_cov_9.516442||full	5.27567730839542	6.14568871549632	4.80169187227425	5.51610784276266
KSW-C63_1_V_NODE_491_length_5846_cov_3.584873||full	5.15840752039031	5.79368118302176	4.3145874887721	5.0816541107066
KSW-C63_1_V_NODE_494_length_5829_cov_4.002251||full	3.54162108714587	3.40246517995411	4.09783305196449	4.1215138010276
KSW-C63_1_V_NODE_506_length_5760_cov_17.611218||full	4.44881444717133	3.99884677796349	5.59771447755709	4.1215138010276
KSW-C63_1_V_NODE_509_length_5742_cov_3.553895||full	4.44881444717133	4.53280245267819	3.82991977538708	2.5317251510737
KSW-C63_1_V_NODE_511_length_5737_cov_66.867476||full	3.25296471822983	4.10625362164894	2.5317251510737	3.68284383778905
