	T0_1	T0_2	T63_1	T63_2
ASV_487	0	0	12	6
ASV_488	0	0	7	7
ASV_489	2	0	16	6
ASV_490	1	0	13	10
ASV_491	3	2	0	0
ASV_492	7	5	0	0
ASV_493	0	2	2	1
ASV_494	0	0	9	7
ASV_495	2	0	1	0
ASV_496	0	0	12	10
ASV_498	0	3	1	0
ASV_499	1	1	1	3
ASV_500	1	3	5	3
ASV_501	0	0	11	5
ASV_502	15	6	2	0
ASV_503	1	0	16	6
ASV_504	3	4	1	0
ASV_505	8	7	0	1
ASV_506	2	2	1	1
ASV_507	0	2	5	14
ASV_508	4	4	0	0
ASV_509	4	7	0	0
ASV_510	2	0	2	3
ASV_511	4	8	0	1
ASV_513	2	0	0	1
ASV_514	6	6	5	1
ASV_515	2	1	1	0
ASV_516	1	0	1	1
ASV_517	0	0	1	0
ASV_518	0	0	5	3
ASV_519	0	0	3	6
ASV_520	1	0	6	8
ASV_521	0	5	10	6
ASV_522	0	0	12	9
ASV_523	0	0	10	11
ASV_524	0	0	9	12
ASV_525	3	2	0	0
ASV_526	1	1	2	2
ASV_527	7	2	0	0
ASV_528	1	0	0	0
ASV_529	6	2	0	1
ASV_530	0	0	2	1
ASV_531	5	5	0	0
ASV_532	8	4	0	0
ASV_533	2	3	0	0
ASV_534	1	3	2	0
ASV_535	1	1	1	1
ASV_536	0	1	3	4
ASV_537	0	0	1	3
ASV_538	1	1	4	2
ASV_539	0	0	2	2
ASV_540	0	0	7	4
ASV_541	0	4	2	7
ASV_542	1	0	15	4
ASV_543	0	0	13	7
ASV_544	0	0	7	13
ASV_545	0	3	0	0
ASV_546	5	2	0	2
ASV_547	0	0	0	1
ASV_548	0	0	6	7
ASV_549	0	0	3	4
ASV_550	6	6	0	0
ASV_551	1	3	2	2
ASV_552	2	0	8	1
ASV_553	2	1	5	10
ASV_554	1	2	3	4
ASV_555	0	0	7	5
ASV_556	0	0	12	0
ASV_557	1	0	4	11
ASV_558	0	0	9	6
ASV_559	0	0	3	2
ASV_560	0	0	5	7
ASV_561	0	0	17	2
ASV_562	3	1	0	0
ASV_563	2	5	0	0
ASV_564	1	1	1	0
ASV_566	1	0	0	1
ASV_567	0	0	7	1
ASV_568	1	0	4	4
ASV_569	3	0	3	2
ASV_570	1	1	8	2
ASV_571	0	0	7	8
ASV_572	6	3	0	0
ASV_573	2	6	0	0
ASV_574	4	5	0	2
ASV_575	6	3	1	3
ASV_576	0	4	2	0
ASV_577	2	12	0	1
ASV_578	5	10	0	0
ASV_579	8	7	1	0
ASV_580	1	0	2	0
ASV_581	0	0	8	3
ASV_582	2	0	0	1
ASV_583	0	0	3	4
ASV_584	0	0	10	0
ASV_585	1	0	8	1
ASV_586	0	0	5	6
ASV_587	0	0	7	10
ASV_588	0	0	4	13
ASV_589	3	1	0	0
ASV_590	3	4	0	0
ASV_591	2	4	0	0
ASV_592	2	3	0	0
ASV_593	1	0	0	4
ASV_594	0	1	1	0
ASV_595	6	5	0	0
ASV_596	2	4	0	3
ASV_597	0	10	0	0
ASV_598	0	0	7	2
ASV_599	4	3	4	2
ASV_600	0	2	1	0
ASV_601	0	0	2	4
ASV_603	0	0	5	4
ASV_604	0	0	10	4
ASV_605	0	0	2	5
ASV_606	8	3	2	3
ASV_607	3	1	1	0
ASV_608	1	5	2	0
ASV_609	6	3	0	0
ASV_610	3	2	0	0
ASV_611	3	2	1	0
ASV_612	4	1	0	1
ASV_613	0	0	2	1
ASV_614	0	0	3	1
ASV_615	5	1	3	3
ASV_616	3	5	0	0
ASV_617	3	4	1	1
ASV_618	0	0	1	0
ASV_619	0	0	1	3
ASV_620	0	0	11	4
ASV_621	0	0	10	5
ASV_622	0	0	3	12
ASV_623	3	1	0	0
ASV_624	1	3	1	0
ASV_625	2	3	0	0
ASV_626	2	1	0	0
ASV_627	3	4	0	0
ASV_628	6	0	0	0
ASV_629	3	3	0	1
ASV_630	3	3	0	0
ASV_631	0	0	5	0
ASV_632	1	0	1	3
ASV_633	0	0	2	1
ASV_634	0	0	1	1
ASV_635	0	0	3	4
ASV_636	0	0	1	6
ASV_637	0	0	4	3
ASV_638	0	1	1	11
ASV_639	1	1	4	8
ASV_640	1	3	0	0
ASV_641	1	5	0	0
ASV_642	2	0	0	1
ASV_643	0	3	0	0
ASV_644	3	1	0	0
ASV_645	3	1	1	5
ASV_646	8	4	0	0
ASV_647	0	0	0	5
ASV_648	2	0	0	1
ASV_649	0	0	3	2
ASV_650	1	0	1	3
ASV_651	0	0	6	4
ASV_652	0	1	0	4
ASV_653	0	0	7	1
ASV_654	0	0	1	1
ASV_655	0	0	9	3
ASV_656	1	0	6	4
ASV_657	0	0	9	2
ASV_658	0	0	1	7
ASV_659	6	5	0	1
ASV_660	0	1	2	9
ASV_661	1	0	8	4
ASV_662	0	0	5	8
ASV_663	3	2	0	0
ASV_664	2	5	0	0
ASV_665	0	5	0	0
ASV_666	0	1	0	0
ASV_667	0	0	0	3
ASV_668	0	0	2	0
ASV_669	1	0	4	0
ASV_670	0	0	2	3
ASV_671	1	0	3	2
ASV_672	0	0	6	0
ASV_673	0	2	1	0
ASV_674	0	0	3	3
ASV_675	0	0	7	0
ASV_676	0	0	6	1
ASV_677	0	0	6	5
ASV_678	6	0	0	1
ASV_679	3	2	0	0
ASV_680	0	1	3	1
ASV_681	0	0	3	0
ASV_682	0	2	0	0
ASV_683	0	2	0	0
ASV_684	1	0	0	0
ASV_685	1	2	0	0
ASV_686	0	2	5	1
ASV_687	2	3	0	0
ASV_690	0	2	0	0
ASV_691	0	0	3	0
ASV_692	3	0	0	1
ASV_693	1	0	2	3
ASV_694	0	0	1	6
ASV_695	0	0	1	1
ASV_696	0	0	1	3
ASV_697	0	0	2	6
ASV_698	1	0	2	3
ASV_699	4	4	2	0
ASV_700	0	1	0	3
ASV_701	0	0	7	2
ASV_702	0	0	5	4
ASV_703	3	4	1	3
ASV_704	0	11	0	0
ASV_705	0	0	9	2
ASV_706	0	0	6	5
ASV_708	0	3	0	0
ASV_709	0	3	0	0
ASV_710	0	2	0	1
ASV_711	4	1	0	0
ASV_712	0	1	0	1
ASV_713	1	1	0	0
ASV_714	2	0	0	0
ASV_715	3	0	0	0
ASV_716	5	2	0	0
ASV_717	1	3	2	0
ASV_718	0	2	2	0
ASV_719	3	4	0	0
ASV_720	2	0	0	0
ASV_721	4	1	1	0
ASV_722	2	1	1	0
ASV_723	0	0	2	0
ASV_725	1	0	1	3
ASV_726	0	2	0	1
ASV_728	0	0	5	2
ASV_729	0	3	4	0
ASV_730	0	0	4	5
ASV_731	2	3	1	3
ASV_732	3	0	5	1
ASV_733	0	1	3	6
ASV_734	0	0	3	7
ASV_735	0	0	0	10
ASV_736	0	1	0	1
ASV_737	1	2	0	0
ASV_738	1	1	0	0
ASV_739	2	2	0	0
ASV_740	1	2	0	0
ASV_741	2	2	0	0
ASV_742	3	1	0	0
ASV_743	2	2	0	0
ASV_744	1	0	0	0
ASV_745	2	4	0	0
ASV_747	0	2	2	1
ASV_748	0	0	2	1
ASV_749	3	2	0	0
ASV_750	2	0	0	0
ASV_751	2	2	1	0
ASV_752	6	0	1	0
ASV_753	0	3	0	0
ASV_754	2	2	0	0
ASV_755	0	0	0	1
ASV_756	0	3	0	0
ASV_758	0	2	0	0
ASV_760	0	0	2	4
ASV_761	0	0	2	1
ASV_762	1	0	0	0
ASV_763	2	1	3	2
ASV_764	1	0	4	3
ASV_765	0	0	0	7
ASV_766	0	0	2	1
ASV_767	0	1	4	3
ASV_768	0	0	6	3
ASV_769	0	0	4	5
ASV_771	0	2	1	1
ASV_772	1	3	0	0
