	T0_1	T0_2	T63_1	T63_2
ASV_70	3.87818702042731	3.04534363409423	7.58153135644909	7.68095188036556
ASV_71	5.86984583961522	6.1140978376528	5.52292237528899	4.88961035946083
ASV_72	6.60179244892656	7.36272597537889	5.43659370005091	6.09243715944267
ASV_73	6.1140978376528	6.15821639069847	3.84159987814155	3.04534363409423
ASV_74	5.22155690658302	6.53685349057442	3.04534363409423	3.04534363409423
ASV_75	3.46607919966779	3.04534363409423	6.5615766812895	8.5211370320681
ASV_76	4.55530763013855	4.33697441124119	6.74738515147672	7.05547095894642
ASV_77	5.57307737177027	5.40884218355029	5.39125563462289	4.74577115145093
ASV_78	3.04534363409423	3.04534363409423	7.23052910661547	7.67186810152693
ASV_79	3.76905221797571	3.04534363409423	5.95035562596945	6.32110843171451
ASV_80	5.86984583961522	5.92224186825064	3.61190767716215	4.01330271127713
ASV_81	3.76905221797571	3.9733903573697	6.8482524971889	6.87674714722189
ASV_82	4.13627619356175	3.04534363409423	6.3477523553258	8.18079094055331
ASV_83	6.48037293976259	6.7038405299026	5.52292237528899	6.59723353882837
ASV_84	6.20099129433761	5.69957983946988	3.04534363409423	3.04534363409423
ASV_85	5.383651570311	4.93276824752415	5.88769569015294	5.47759736111934
ASV_86	3.63828234300959	3.9733903573697	4.39258278511249	4.01330271127713
ASV_87	3.87818702042731	3.9733903573697	5.78805429237242	6.32110843171451
ASV_88	6.46880190558528	6.02146161308904	4.39258278511249	4.74577115145093
ASV_89	5.57307737177027	6.00540756971437	3.04534363409423	3.04534363409423
ASV_90	5.86984583961522	5.48169129264258	4.28215197160935	4.81981798316834
ASV_91	5.79675270840345	6.0838951006348	3.04534363409423	3.04534363409423
ASV_92	5.6587002528411	5.59499283033061	3.84159987814155	4.01330271127713
ASV_93	5.48169129264258	5.71957144107786	4.28215197160935	4.39077669462856
ASV_94	5.75870271964007	5.27782875759958	5.19262453302166	4.2804765574818
ASV_95	5.98916672914277	5.83378194169958	3.04534363409423	3.04534363409423
ASV_96	6.09907783069194	5.77785896462177	4.28215197160935	3.61110412928356
ASV_97	6.37266563528895	6.21496528166909	3.84159987814155	3.04534363409423
ASV_98	6.02146161308904	6.25607385910283	4.01464502621761	4.95566754177948
ASV_99	3.46607919966779	3.04534363409423	7.91834643894597	7.04140111872149
ASV_100	3.46607919966779	3.46607919966779	6.72985801625377	5.43377523012691
